,Acrylic_k,Acrylic_SE,OC_SE,OC_k,ITO_SE,SiN_SE,SiO2_SE,Acrylic_wk,OC_wk,sodalime_w,sodalime_n,sodalime_wk,sodalime_k,ITO_2_w,ITO_2_n,ITO_2_wk,ITO_2_k
38,0.000557758,,,0.001678647,,,,691.4016033,588.7670369,1.94,1.502125867,0.69,1.16E-06,0.461430084,1.991902,0.461430084,0.003847
39,0.000534939,,,0.001468465,,,,704.9060169,607.6734084,1.983,1.501546132,0.7,1.23E-06,0.463018738,1.990445,0.463018738,0.003764
40,0.000488948,,,0.001258393,,,,724.3748939,628.9430478,2.026,1.500957522,0.71,1.35E-06,0.464607361,1.989001,0.464607361,0.003684
41,0.000419595,,,0.001095426,,,,745.756918,654.4890262,2.069,1.500359805,0.72,1.47E-06,0.466195984,1.987571,0.466195984,0.003608
42,0.000396929,,,0.000979369,,,,762.524892,680.1474905,2.112,1.499752769,0.73,1.59E-06,0.467784576,1.986155,0.467784576,0.003535
43,0.000351017,,,0.000933114,,,,783.6818176,693.9895391,2.155,1.499136224,0.74,1.71E-06,0.469373138,1.984752,0.469373138,0.003465
44,0.000328415,,,0.000770047,,,,801.8002305,717.3973227,2.198,1.49851,0.75,1.83E-06,0.47096167,1.983362,0.47096167,0.003398
45,0.000282619,,,0.00067713,,,,825.4329606,736.4161042,2.241,1.497873941,0.76,1.96E-06,0.472550201,1.981985,0.472550201,0.003334
46,,,,0.000607808,,,,,758.4733476,2.283,1.497243046,0.77,2.09E-06,0.474138672,1.98062,0.474138672,0.003272
47,,,,0.000561469,,,,,770.5148111,2.326,1.496587146,0.78,2.21E-06,0.475727112,1.979266,0.475727112,0.003214
48,,,,0.000468615,,,,,790.8840314,2.369,1.495921029,0.79,2.35E-06,0.477315521,1.977924,0.477315521,0.003157
49,,,,0.00047022,,,,,825.0951482,2.412,1.495244589,0.8,2.48E-06,0.478903961,1.976594,0.478903961,0.003104
,,,,,,,,,,2.455,1.49455773,0.81,2.62E-06,0.480492279,1.975275,0.480492279,0.003052
,,,,,,,,,,2.498,1.493860363,0.82,2.76E-06,0.482080627,1.973966,0.482080627,0.003003
,,,,,,,,,,2.541,1.493152406,0.83,2.89E-06,0.483668945,1.972668,0.483668945,0.002956
,,,,,,,,,,2.584,1.492433785,0.84,3.02E-06,0.485257233,1.97138,0.485257233,0.002911
,,,,,,,,,,2.627,1.491704431,0.85,3.15E-06,0.486845459,1.970102,0.486845459,0.002868
,,,,,,,,,,2.67,1.490964282,0.86,3.27E-06,0.488433655,1.968834,0.488433655,0.002827
,,,,,,,,,,2.712,1.490230868,0.87,3.39E-06,0.49002182,1.967575,0.49002182,0.002787
,,,,,,,,,,2.755,1.489469212,0.88,3.51E-06,0.491609955,1.966325,0.491609955,0.00275
,,,,,,,,,,2.798,1.4886966,0.89,3.62E-06,0.49319809,1.965084,0.49319809,0.002714
,,,,,,,,,,2.841,1.487912987,0.9,3.73E-06,0.494786194,1.963853,0.494786194,0.002679
,,,,,,,,,,2.884,1.48711833,0.91,3.82E-06,0.496374207,1.962629,0.496374207,0.002647
,,,,,,,,,,2.927,1.486312589,0.92,3.91E-06,0.497962219,1.961414,0.497962219,0.002616
,,,,,,,,,,2.97,1.485495728,0.93,4.00E-06,0.499550201,1.960207,0.499550201,0.002586
,,,,,,,,,,3.013,1.484667714,0.94,4.08E-06,0.501138123,1.959008,0.501138123,0.002557
,,,,,,,,,,3.056,1.483828514,0.95,4.17E-06,0.502726013,1.957817,0.502726013,0.002531
,,,,,,,,,,3.099,1.4829781,0.96,4.26E-06,0.504313873,1.956633,0.504313873,0.002505
,,,,,,,,,,3.141,1.482136609,0.97,4.35E-06,0.505901703,1.955457,0.505901703,0.00248
,,,,,,,,,,3.184,1.481263947,0.98,4.43E-06,0.507489502,1.954288,0.507489502,0.002457
,,,,,,,,,,3.227,1.480379993,0.99,4.51E-06,0.50907724,1.953126,0.50907724,0.002435
,,,,,,,,,,3.27,1.479484726,1,4.59E-06,0.510664948,1.951971,0.510664948,0.002414
,,,,,,,,,,3.313,1.478578125,1.1,5.11E-06,0.512252563,1.950822,0.512252563,0.002394
,,,,,,,,,,3.356,1.477660169,1.2,5.37E-06,0.51384021,1.94968,0.51384021,0.002376
,,,,,,,,,,3.399,1.476730841,1.3,5.35E-06,0.515427856,1.948544,0.515427856,0.002358
,,,,,,,,,,3.442,1.475790124,1.4,4.94E-06,0.517015381,1.947415,0.517015381,0.002341
,,,,,,,,,,3.485,1.474838001,1.5,4.23E-06,0.518602905,1.946291,0.518602905,0.002325
,,,,,,,,,,3.528,1.473874457,1.6,3.68E-06,0.520190308,1.945173,0.520190308,0.00231
,,,,,,,,,,3.57,1.472922281,1.7,3.66E-06,0.52177771,1.944062,0.52177771,0.002296
,,,,,,,,,,3.613,1.47193612,1.8,3.92E-06,0.523365112,1.942955,0.523365112,0.002283
,,,,,,,,,,3.656,1.470938498,1.9,4.19E-06,0.524952454,1.941854,0.524952454,0.002271
,,,,,,,,,,3.699,1.469929402,2,4.42E-06,0.526539734,1.940759,0.526539734,0.002259
,,,,,,,,,,3.742,1.468908823,2.1,4.48E-06,0.528127014,1.939669,0.528127014,0.002249
,,,,,,,,,,3.785,1.467876749,2.2,5.37E-06,0.529714172,1.938583,0.529714172,0.002239
,,,,,,,,,,3.828,1.46683317,2.3,5.08E-06,0.531301331,1.937503,0.531301331,0.002229
,,,,,,,,,,3.871,1.465778077,2.4,5.37E-06,0.532888428,1.936428,0.532888428,0.002221
,,,,,,,,,,3.914,1.46471146,2.5,6.32E-06,0.534475464,1.935357,0.534475464,0.002213
,,,,,,,,,,3.957,1.463633313,2.6,6.88E-06,0.5360625,1.934291,0.5360625,0.002206
,,,,,,,,,,3.999,1.462569098,2.7,1.02E-05,0.537649475,1.933229,0.537649475,0.002199
,,,,,,,,,,4.042,1.461468132,2.8,6.50E-05,0.539236389,1.932172,0.539236389,0.002193
,,,,,,,,,,4.085,1.460355611,2.9,7.93E-05,0.540823242,1.931119,0.540823242,0.002188
,,,,,,,,,,4.128,1.45923153,3,7.43E-05,0.542410034,1.93007,0.542410034,0.002184
