nb1,nb2,si1,si2
2.330217,2.116799,1.558873,1.523671
2.328985,2.116251,1.558659,1.52348
2.32777,2.115709,1.558447,1.523287
2.326571,2.115173,1.558237,1.523092
2.325388,2.114645,1.55803,1.522896
2.32422,2.114122,1.557825,1.522698
2.323068,2.113606,1.557623,1.522498
2.321931,2.113096,1.557423,1.522298
2.320809,2.112592,1.557225,1.522096
2.319701,2.112094,1.55703,1.521893
2.318607,2.111603,1.556837,1.521688
2.317527,2.111117,1.556646,1.521483
2.316461,2.110638,1.556457,1.521276
2.315408,2.110164,1.55627,1.521069
2.314369,2.109697,1.556086,1.520861
2.313343,2.109235,1.555903,1.520652
2.312329,2.108779,1.555723,1.520442
2.311328,2.108328,1.555544,1.520231
2.310339,2.107884,1.555368,1.52002
2.309362,2.107445,1.555193,1.519808
2.308397,2.107011,1.555021,1.519596
2.307444,2.106583,1.55485,1.519383
2.306502,2.10616,1.554681,1.51917
2.305571,2.105743,1.554514,1.518957
2.304652,2.105331,1.554349,1.518743
2.303743,2.104924,1.554185,1.51853
2.302845,2.104523,1.554024,1.518316
2.301958,2.104127,1.553864,1.518102
2.30108,2.103736,1.553706,1.517889
2.300214,,1.553549,
2.299357,,1.553394,
2.29851,,1.553241,
2.297672,,1.553089,
2.296844,,1.552939,
2.296026,,1.552791,
2.295217,,1.552644,
2.294417,,1.552498,
2.293625,,1.552354,
2.292843,,1.552212,
2.292069,,1.552071,
2.291304,,1.551932,
2.290547,,1.551793,
2.289798,,1.551657,
2.289058,,1.551521,
2.288325,,1.551387,
2.287601,,1.551255,
2.286884,,1.551124,
2.286175,,1.550994,
2.285473,,1.550865,
2.284779,,1.550738,
2.284092,,1.550611,
2.283412,,1.550487,
2.282739,,1.550363,
2.282073,,1.55024,
2.281415,,1.550119,
2.280763,,1.549999,
2.280118,,1.54988,
2.279479,,1.549762,
2.278847,,1.549646,
2.278221,,1.54953,
2.277601,,1.549416,
2.276988,,1.549303,
2.276381,,1.54919,
2.27578,,1.549079,
2.275185,,1.548969,
2.274595,,1.54886,
2.274012,,1.548752,
2.273434,,1.548645,
2.272862,,1.548539,
2.272296,,1.548434,
2.271735,,1.54833,
2.271179,,1.548226,
2.270629,,1.548124,
2.270084,,1.548023,
2.269544,,1.547923,
2.26901,,1.547823,
2.26848,,1.547725,
2.267955,,1.547627,
2.267436,,1.54753,
2.266921,,1.547435,
2.266411,,1.54734,
2.265906,,1.547245,
2.265405,,1.547152,
2.264909,,1.54706,
2.264418,,1.546968,
2.263931,,1.546877,
2.263449,,1.546787,
2.262971,,1.546698,
2.262497,,1.546609,
2.262028,,1.546522,
2.261562,,1.546435,
2.261101,,1.546348,
2.260644,,1.546263,
2.260192,,1.546178,
2.259743,,1.546094,
2.259298,,1.546011,
2.258857,,1.545928,
2.25842,,1.545847,
2.257987,,1.545766,
2.257557,,1.545685,
2.257132,,1.545605,
2.25671,,1.545526,
2.256291,,1.545448,
2.255876,,1.54537,
2.255465,,1.545293,
2.255058,,1.545216,
2.254653,,1.545141,
2.254252,,1.545065,
2.253855,,1.544991,
2.253461,,1.544917,
2.25307,,1.544843,
2.252683,,1.54477,
2.252299,,1.544698,
2.251917,,1.544627,
2.25154,,1.544556,
2.251165,,1.544485,
2.250793,,1.544415,
2.250425,,1.544346,
2.250059,,1.544277,
2.249696,,1.544209,
2.249337,,1.544141,
2.24898,,1.544074,
2.248626,,1.544008,
2.248275,,1.543941,
2.247927,,1.543876,
2.247582,,1.543811,
2.247239,,1.543746,
2.246899,,1.543682,
2.246562,,1.543619,
2.246228,,1.543556,
2.245896,,1.543493,
2.245566,,1.543431,
2.24524,,1.54337,
2.244916,,1.543309,
2.244594,,1.543248,
2.244275,,1.543188,
2.243958,,1.543128,
2.243644,,1.543069,
2.243332,,1.54301,
2.243023,,1.542952,
2.242716,,1.542894,
