,wl_ITO,k_ITO
0,0.2765648611339775,0.025491392009567085
1,0.27949187573612283,0.02450653883809495
2,0.2832070262534669,0.023169940326068846
3,0.2865843137751548,0.022067847505161796
4,0.2904118235584655,0.020895419340113536
5,0.29457689238991397,0.019769911315708516
6,0.29682830764554646,0.0191368087632402
7,0.29998011676650493,0.018409939827783182
8,0.30380737326021706,0.017472033189203498
9,0.30819736325527786,0.016487248637579312
10,0.3124746900368536,0.015619719570739564
11,0.31765248667063484,0.014588067662970555
12,0.32204227403401675,0.013790900332521224
13,0.3262068362862679,0.013134435361053354
14,0.3316095287547017,0.01226695907871203
15,0.3373497549423133,0.0114698550896608
16,0.34308990514304527,0.010743107558550149
17,0.34905515381010876,0.00999291843169232
18,0.3558081584579729,0.009242766253983382
19,0.3644743860893352,0.008398895199334323
20,0.3739283190435784,0.007601965399127872
21,0.38540798622104583,0.006734774153078001
22,0.39801299375641136,0.005891087844173401
23,0.40926733450690844,0.005258407567692424
24,0.41815817935436483,0.0048366858175864814
25,0.4323384962196527,0.004180690628154533
26,0.4461809500892846,0.0037592011298416238
27,0.46587550816225737,0.003150368889745639
28,0.4788175934955231,0.0027991936217745747
29,0.4972739706943934,0.00244827699784576
30,0.51663069110067,0.002050498296221958
31,0.535987310191107,0.001746528205185588
32,0.5579321943744381,0.00151303597643615
33,0.5734624434847582,0.0013261471813394536
34,0.6036224465242335,0.0011399445847221773
35,0.6287183546307671,0.0009066001525683161
36,0.6523511860285457,0.0007669957111539304
37,0.6709197958485835,0.0006975101974372455
38,0.6914016033231595,0.0005577579594273005
39,0.7049060168944162,0.0005349392207614455
40,0.7243748939349804,0.000488948087290355
41,0.7457569179721635,0.0004195945348197151
42,0.7625248920353085,0.0003969288711992737
43,0.78368181760616,0.0003510169144758102
44,0.8018002304935348,0.0003284145922534676
45,0.825432960575474,0.0002826187614265209
