,wavelength,reflectance
0,400.0,0.011910609266926185
1,400.6012024048096,0.011565675072380757
2,401.2024048096192,0.01131116431284325
3,401.80360721442884,0.011141610988158853
4,402.40480961923845,0.011051588113246824
5,403.0060120240481,0.011035726309713542
6,403.60721442885773,0.011088730909252081
7,404.20841683366734,0.011205397569215772
8,404.80961923847696,0.01138062641381991
9,405.41082164328657,0.01160943472600949
10,406.0120240480962,0.011886968225139169
11,406.6132264529058,0.012208510974267495
12,407.2144288577154,0.012569493968121988
13,407.8156312625251,0.012965502458718794
14,408.4168336673347,0.013392282080283056
15,409.0180360721443,0.013845743838622722
16,409.6192384769539,0.014321968032540806
17,410.2204408817635,0.014817207176337917
18,410.82164328657313,0.015327887993057385
19,411.42284569138275,0.015850612547958755
20,412.02404809619236,0.016382158590878736
21,412.62525050100203,0.016919479174733135
22,413.22645290581164,0.01745970161554015
23,413.82765531062125,0.018000125857066295
24,414.42885771543087,0.018538222300608108
25,415.0300601202405,0.01907162915759036
26,415.6312625250501,0.01959814937964816
27,416.2324649298597,0.020115747217727374
28,416.8336673346693,0.020622544458539768
29,417.434869739479,0.021116816383481483
30,418.0360721442886,0.02159698749191705
31,418.6372745490982,0.022061627027571116
32,419.2384769539078,0.02250944434368275
33,419.83967935871743,0.02293928413959643
34,420.44088176352705,0.02335012159859218
35,421.04208416833666,0.02374105745401997
36,421.64328657314627,0.02411131300820875
37,422.24448897795594,0.024460225126171836
38,422.84569138276555,0.024787241223831764
39,423.44689378757516,0.0250919142683517
40,424.0480961923848,0.02537389780616909
41,424.6492985971944,0.025632941032491557
42,425.250501002004,0.02586888391433182
43,425.8517034068136,0.0260816523776127
44,426.4529058116232,0.026271253567466624
45,427.0541082164329,0.02643777118958515
46,427.6553106212425,0.026581360939321546
47,428.2565130260521,0.02670224602422079
48,428.85771543086173,0.02680071278472918
49,429.45891783567134,0.026877106417016957
50,430.06012024048096,0.026931826801124176
51,430.66132264529057,0.026965324437002
52,431.2625250501002,0.02697809649046488
53,431.86372745490985,0.026970682950581953
54,432.46492985971946,0.026943662899619865
55,433.0661322645291,0.026897650896284448
56,433.6673346693387,0.026833293472702826
57,434.2685370741483,0.02675126574532416
58,434.8697394789579,0.026652268139694808
59,435.4709418837675,0.026537023228880487
60,436.07214428857714,0.026406272685150764
61,436.67334669338675,0.026260774344411333
62,437.2745490981964,0.02610129938276384
63,437.87575150300603,0.02592862960448417
64,438.47695390781564,0.025743554840632656
65,439.07815631262525,0.02554687045745062
66,439.67935871743487,0.025339374973640517
67,440.2805611222445,0.02512186778558235
68,440.8817635270541,0.024895146999492277
69,441.48296593186376,0.02466000736949155
70,442.0841683366734,0.0244172383405118
71,442.685370741483,0.024167622194924764
72,443.2865731462926,0.023911932301737406
73,443.8877755511022,0.023650931467157185
74,444.4889779559118,0.02338537038527596
75,445.09018036072143,0.023115986187576897
76,445.69138276553105,0.022843501089910952
77,446.29258517034066,0.02256862113553148
78,446.8937875751503,0.022292035032715013
79,447.49498997995994,0.022014413085427686
80,448.09619238476955,0.021736406215429736
81,448.69739478957916,0.021458645074138926
82,449.2985971943888,0.021181739242495338
83,449.8997995991984,0.020906276516998296
84,450.501002004008,0.020632822280004424
85,451.10220440881767,0.020361918952297584
86,451.7034068136273,0.02009408552586489
87,452.3046092184369,0.019829817174730258
88,452.9058116232465,0.019569584941622923
89,453.5070140280561,0.01931383549818285
90,454.10821643286573,0.019062990976329155
91,454.70941883767534,0.018817448868351676
92,455.31062124248496,0.018577581993217653
93,455.91182364729457,0.018343738526525214
94,456.51302605210424,0.018116242091477257
95,457.11422845691385,0.017895391908201903
96,457.71543086172346,0.017681462998695396
97,458.3166332665331,0.017474706444629767
98,458.9178356713427,0.01727534969523182
99,459.5190380761523,0.017083596922415928
100,460.1202404809619,0.01689962942033634
101,460.7214428857715,0.016723606046511227
102,461.32264529058114,0.016555663701670227
103,461.9238476953908,0.016395917845479203
104,462.5250501002004,0.01624446304530865
105,463.12625250501003,0.016101373555231127
106,463.72745490981964,0.0159667039224586
107,464.32865731462925,0.015840489618464824
108,464.92985971943887,0.01572274769207769
109,465.5310621242485,0.01561347744187273
110,466.13226452905815,0.015512661105254184
111,466.73346693386776,0.015420264561666373
112,467.3346693386774,0.015336238047445943
113,467.935871743487,0.015260516879893793
114,468.5370741482966,0.015193022188220525
115,469.1382765531062,0.015133661649100835
116,469.7394789579158,0.015082330224652652
117,470.3406813627255,0.015038910900746745
118,470.94188376753505,0.015003275423640978
119,471.5430861723447,0.014975285033025408
120,472.1442885771543,0.014954791189663407
121,472.74549098196394,0.014941636295905081
122,473.34669338677355,0.014935654407451428
123,473.94789579158316,0.014936671934845226
124,474.5490981963928,0.014944508333264304
125,475.1503006012024,0.01495897677929043
126,475.75150300601206,0.014979884833430126
127,476.35270541082167,0.015007035087256681
128,476.9539078156313,0.015040225794146208
129,477.5551102204409,0.015079251482669137
130,478.1563126252505,0.015123903551800997
131,478.7575150300601,0.015173970847200695
132,479.35871743486973,0.015229240217902425
133,479.95991983967934,0.015289497052846676
134,480.56112224448896,0.015354525796768543
135,481.1623246492986,0.015424110445039715
136,481.76352705410824,0.015498035017139708
137,482.36472945891785,0.015576084008509692
138,482.96593186372746,0.015658042820615514
139,483.5671342685371,0.015743698169112575
140,484.1683366733467,0.015832838470077302
141,484.7695390781563,0.015925254204328155
142,485.37074148296597,0.016020738259919284
143,485.9719438877755,0.016119086252950273
144,486.5731462925852,0.01622009682687924
145,487.1743486973948,0.0163235719305859
146,487.7755511022044,0.016429317075469598
