PRINT DATE :2020/4/9 下午 05:12:40,
,
SAMPLE :,
RANGE :400nm ～ 780nm,
T50% WL=,
RANGE :400nm ～ 780nm,
"MAX :91.51 , 632.8nm    MIN :86.4 , 780.3nm    AVERAGE :89.1",
,
,
nm,SCAN
400,86.85
401,86.97
402,87.29
403,87.49
404,87.54
405,87.74
406,87.81
407,87.86
408,87.88
409,87.84
410,87.85
411,87.87
412,87.86
413,87.91
414,87.93
415,87.85
416,87.73
417,87.62
418,87.61
419,87.59
420,87.77
421,87.83
422,88
423,88.06
424,88.03
425,88.01
426,88.07
427,88.04
428,88.11
429,88.15
430,88.09
431,88.18
432,88.24
433,88.28
434,88.39
435,88.44
436,88.43
437,88.54
438,88.6
439,88.62
440,88.63
441,88.61
442,88.62
443,88.66
444,88.76
445,88.76
446,88.81
447,88.82
448,88.73
449,88.82
450,88.83
451,88.8
452,88.82
453,88.8
454,88.84
455,88.92
456,88.95
457,89.04
458,89.09
459,89.14
460,89.19
461,89.2
462,89.16
463,89.16
464,89.1
465,89.07
466,89.06
467,89
468,88.96
469,88.92
470,88.78
471,88.72
472,88.7
473,88.66
474,88.65
475,88.69
476,88.66
477,88.64
478,88.66
479,88.62
480,88.63
481,88.61
482,88.6
483,88.7
484,88.71
485,88.77
486,88.8
487,88.87
488,88.86
489,88.96
490,89.02
491,89.11
492,89.18
493,89.33
494,89.44
495,89.53
496,89.73
497,89.84
498,89.9
499,90.01
500,90.07
501,90.12
502,90.18
503,90.25
504,90.27
505,90.27
506,90.27
507,90.28
508,90.24
509,90.18
510,90.14
511,90.06
512,89.99
513,89.96
514,89.9
515,89.85
516,89.77
517,89.66
518,89.55
519,89.44
520,89.35
521,89.26
522,89.18
523,89.07
524,89.01
525,88.9
526,88.86
527,88.81
528,88.74
529,88.68
530,88.65
531,88.66
532,88.64
533,88.7
534,88.74
535,88.8
536,88.87
537,88.96
538,88.96
539,89.02
540,89.13
541,89.23
542,89.38
543,89.52
544,89.64
545,89.78
546,89.92
547,90.02
548,90.15
549,90.29
550,90.39
551,90.52
552,90.62
553,90.72
554,90.79
555,90.9
556,90.98
557,91.09
558,91.19
559,91.19
560,91.22
561,91.24
562,91.2
563,91.18
564,91.16
565,91.1
566,91.03
567,90.97
568,90.87
569,90.8
570,90.7
571,90.57
572,90.47
573,90.33
574,90.19
575,90.07
576,89.88
577,89.74
578,89.63
579,89.47
580,89.39
581,89.29
582,89.19
583,89.08
584,88.93
585,88.8
586,88.7
587,88.58
588,88.5
589,88.43
590,88.35
591,88.31
592,88.26
593,88.22
594,88.23
595,88.25
596,88.28
597,88.3
598,88.32
599,88.35
600,88.38
601,88.46
602,88.53
603,88.61
604,88.72
605,88.83
606,88.94
607,89.06
608,89.16
609,89.3
610,89.44
611,89.58
612,89.72
613,89.83
614,89.96
615,90.1
616,90.26
617,90.37
618,90.48
619,90.61
620,90.72
621,90.9
622,91.05
623,91.16
624,91.25
625,91.31
626,91.36
627,91.41
628,91.45
629,91.47
630,91.47
631,91.48
632,91.49
633,91.45
634,91.42
635,91.37
636,91.33
637,91.26
638,91.19
639,91.15
640,91.04
641,90.97
642,90.87
643,90.7
644,90.58
645,90.47
646,90.36
647,90.18
648,90.04
649,89.89
650,89.72
651,89.58
652,89.49
653,89.34
654,89.22
655,89.05
656,88.88
657,88.78
658,88.68
659,88.5
660,88.39
661,88.26
662,88.14
663,88.04
664,87.96
665,87.87
666,87.79
667,87.7
668,87.65
669,87.58
670,87.55
671,87.53
672,87.48
673,87.47
674,87.41
675,87.39
676,87.37
677,87.4
678,87.45
679,87.48
680,87.54
681,87.56
682,87.59
683,87.63
684,87.72
685,87.75
686,87.81
687,87.92
688,88.02
689,88.1
690,88.18
691,88.27
692,88.36
693,88.49
694,88.61
695,88.72
696,88.82
697,88.96
698,89.06
699,89.18
700,89.3
