PRINT DATE :2020/4/9 下午 05:09:32,
,
SAMPLE :,
RANGE :400nm ～ 780nm,
T50% WL=,
RANGE :400nm ～ 780nm,
"MAX :92.33 , 623nm    MIN :87.23 , 400.1nm    AVERAGE :90.5",
,
,
nm,SCAN
400,87.43
401,87.53
402,87.78
403,88.06
404,88.28
405,88.62
406,88.73
407,88.75
408,88.96
409,89.14
410,89.34
411,89.64
412,89.89
413,90.04
414,90.32
415,90.38
416,90.44
417,90.29
418,90.23
419,90.13
420,90.1
421,89.92
422,89.83
423,89.73
424,89.64
425,89.54
426,89.44
427,89.33
428,89.23
429,89.12
430,89.06
431,88.95
432,89.04
433,89.06
434,89.14
435,89.25
436,89.39
437,89.54
438,89.62
439,89.8
440,89.91
441,90.03
442,90.17
443,90.42
444,90.54
445,90.64
446,90.8
447,90.84
448,90.66
449,90.78
450,90.79
451,90.77
452,90.83
453,90.8
454,90.74
455,90.72
456,90.65
457,90.59
458,90.58
459,90.49
460,90.41
461,90.36
462,90.25
463,90.18
464,90.12
465,90.05
466,90.01
467,90.02
468,90.01
469,90.05
470,89.99
471,90
472,90
473,89.99
474,90.07
475,90.13
476,90.23
477,90.29
478,90.32
479,90.37
480,90.4
481,90.37
482,90.39
483,90.5
484,90.58
485,90.73
486,90.79
487,90.84
488,90.82
489,90.83
490,90.86
491,90.87
492,90.87
493,90.9
494,90.92
495,90.95
496,91.06
497,91.11
498,91.11
499,91.11
500,91.1
501,91.06
502,91.08
503,91.1
504,91.06
505,91.05
506,91.02
507,91.02
508,91.03
509,90.98
510,90.93
511,90.92
512,90.89
513,90.85
514,90.88
515,90.88
516,90.86
517,90.87
518,90.83
519,90.81
520,90.77
521,90.77
522,90.74
523,90.75
524,90.74
525,90.69
526,90.74
527,90.7
528,90.7
529,90.7
530,90.71
531,90.73
532,90.77
533,90.79
534,90.82
535,90.88
536,90.88
537,90.96
538,90.99
539,91.05
540,91.09
541,91.15
542,91.24
543,91.33
544,91.43
545,91.5
546,91.55
547,91.55
548,91.62
549,91.68
550,91.73
551,91.83
552,91.84
553,91.91
554,91.91
555,91.94
556,91.96
557,91.95
558,91.96
559,91.92
560,91.9
561,91.9
562,91.86
563,91.83
564,91.79
565,91.73
566,91.63
567,91.53
568,91.45
569,91.37
570,91.28
571,91.19
572,91.09
573,90.97
574,90.93
575,90.85
576,90.79
577,90.74
578,90.65
579,90.55
580,90.49
581,90.47
582,90.46
583,90.42
584,90.39
585,90.34
586,90.31
587,90.3
588,90.25
589,90.23
590,90.26
591,90.27
592,90.31
593,90.35
594,90.4
595,90.48
596,90.56
597,90.68
598,90.74
599,90.84
600,90.91
601,90.98
602,91.07
603,91.14
604,91.23
605,91.32
606,91.4
607,91.48
608,91.56
609,91.68
610,91.8
611,91.89
612,91.97
613,91.97
614,92
615,92.08
616,92.14
617,92.19
618,92.24
619,92.26
620,92.3
621,92.32
622,92.33
623,92.29
624,92.25
625,92.25
626,92.2
627,92.13
628,92.06
629,91.98
630,91.88
631,91.8
632,91.67
633,91.53
634,91.42
635,91.34
636,91.24
637,91.15
638,91
639,90.9
640,90.84
641,90.71
642,90.62
643,90.43
644,90.28
645,90.2
646,90.12
647,90.02
648,89.93
649,89.84
650,89.75
651,89.68
652,89.67
653,89.6
654,89.6
655,89.56
656,89.52
657,89.53
658,89.54
659,89.52
660,89.55
661,89.57
662,89.56
663,89.63
664,89.64
665,89.68
666,89.73
667,89.75
668,89.82
669,89.86
670,89.94
671,90.04
672,90.08
673,90.17
674,90.29
675,90.35
676,90.44
677,90.55
678,90.67
679,90.78
680,90.9
681,90.98
682,91.02
683,91.09
684,91.2
685,91.27
686,91.38
687,91.49
688,91.56
689,91.64
690,91.68
691,91.74
692,91.81
693,91.91
694,91.99
695,92.01
696,91.98
697,91.93
698,91.89
699,91.91
700,91.88
