PRINT DATE :2020/4/9 下午 05:41:53,
,
SAMPLE :,
RANGE :400nm ～ 780nm,
T50% WL=,
RANGE :400nm ～ 780nm,
"MAX :10.71 , 674nm    MIN :6.94 , 722.8nm    AVERAGE :9",
,
,
nm,SCAN
400,8.7
401,8.67
402,8.61
403,8.57
404,8.54
405,8.6
406,8.54
407,8.56
408,8.61
409,8.68
410,8.66
411,8.7
412,8.83
413,8.82
414,8.91
415,9.07
416,9.11
417,9.15
418,9.16
419,9.17
420,9.15
421,9.18
422,9.2
423,9.2
424,9.25
425,9.28
426,9.31
427,9.23
428,9.22
429,9.15
430,9.14
431,9.16
432,9.12
433,9.1
434,9.07
435,9.02
436,9.02
437,8.97
438,8.92
439,8.95
440,8.95
441,8.97
442,8.98
443,8.98
444,9
445,9
446,8.99
447,8.98
448,8.95
449,8.95
450,8.92
451,8.93
452,8.88
453,8.88
454,8.86
455,8.83
456,8.78
457,8.77
458,8.76
459,8.75
460,8.79
461,8.78
462,8.77
463,8.77
464,8.79
465,8.84
466,8.9
467,8.94
468,8.95
469,9
470,9.01
471,9.07
472,9.15
473,9.18
474,9.24
475,9.29
476,9.35
477,9.39
478,9.42
479,9.44
480,9.45
481,9.48
482,9.47
483,9.47
484,9.46
485,9.42
486,9.4
487,9.35
488,9.28
489,9.22
490,9.16
491,9.11
492,9.02
493,8.94
494,8.85
495,8.75
496,8.66
497,8.57
498,8.48
499,8.41
500,8.34
501,8.29
502,8.25
503,8.2
504,8.19
505,8.19
506,8.18
507,8.2
508,8.22
509,8.25
510,8.29
511,8.37
512,8.43
513,8.52
514,8.61
515,8.7
516,8.81
517,8.92
518,9.04
519,9.15
520,9.27
521,9.39
522,9.49
523,9.6
524,9.71
525,9.81
526,9.88
527,9.96
528,10.01
529,10.06
530,10.12
531,10.15
532,10.17
533,10.16
534,10.16
535,10.11
536,10.07
537,10.01
538,9.94
539,9.87
540,9.79
541,9.69
542,9.59
543,9.47
544,9.35
545,9.22
546,9.08
547,8.95
548,8.83
549,8.68
550,8.55
551,8.43
552,8.32
553,8.21
554,8.12
555,8.03
556,7.96
557,7.88
558,7.81
559,7.76
560,7.72
561,7.71
562,7.71
563,7.72
564,7.75
565,7.79
566,7.84
567,7.93
568,8
569,8.09
570,8.18
571,8.27
572,8.39
573,8.5
574,8.63
575,8.78
576,8.92
577,9.07
578,9.21
579,9.37
580,9.49
581,9.61
582,9.73
583,9.84
584,9.97
585,10.08
586,10.18
587,10.27
588,10.35
589,10.43
590,10.5
591,10.55
592,10.58
593,10.61
594,10.62
595,10.63
596,10.63
597,10.61
598,10.57
599,10.52
600,10.47
601,10.41
602,10.34
603,10.26
604,10.17
605,10.03
606,9.91
607,9.82
608,9.7
609,9.58
610,9.47
611,9.3
612,9.17
613,9.04
614,8.9
615,8.77
616,8.64
617,8.47
618,8.34
619,8.22
620,8.1
621,8
622,7.89
623,7.78
624,7.7
625,7.62
626,7.54
627,7.47
628,7.41
629,7.37
630,7.36
631,7.33
632,7.31
633,7.3
634,7.3
635,7.33
636,7.37
637,7.42
638,7.48
639,7.54
640,7.61
641,7.69
642,7.76
643,7.86
644,7.96
645,8.06
646,8.18
647,8.32
648,8.43
649,8.54
650,8.66
651,8.81
652,8.94
653,9.07
654,9.2
655,9.34
656,9.46
657,9.57
658,9.67
659,9.82
660,9.92
661,10.02
662,10.11
663,10.22
664,10.3
665,10.36
666,10.43
667,10.48
668,10.54
669,10.6
670,10.66
671,10.69
672,10.7
673,10.71
674,10.71
675,10.7
676,10.7
677,10.7
678,10.68
679,10.65
680,10.6
681,10.54
682,10.49
683,10.44
684,10.36
685,10.29
686,10.22
687,10.14
688,10.05
689,9.97
690,9.86
691,9.75
692,9.65
693,9.53
694,9.41
695,9.31
696,9.18
697,9.07
698,8.92
699,8.8
700,8.67
