PRINT DATE :2020/4/9 下午 05:11:12,
,
SAMPLE :,
RANGE :400nm ～ 780nm,
T50% WL=,
RANGE :400nm ～ 780nm,
"MAX :92.3 , 599.6nm    MIN :88.28 , 412.8nm    AVERAGE :90.4",
,
,
nm,SCAN
400,88.84
401,88.87
402,89
403,89.07
404,88.94
405,88.87
406,88.78
407,88.64
408,88.55
409,88.45
410,88.36
411,88.37
412,88.31
413,88.34
414,88.4
415,88.33
416,88.42
417,88.51
418,88.68
419,88.8
420,88.99
421,89.18
422,89.32
423,89.58
424,89.74
425,89.77
426,89.87
427,90.01
428,90.04
429,90.17
430,90.21
431,90.24
432,90.24
433,90.19
434,90.2
435,90.08
436,90.06
437,90.09
438,90.02
439,90
440,89.89
441,89.79
442,89.7
443,89.69
444,89.64
445,89.54
446,89.59
447,89.59
448,89.5
449,89.5
450,89.53
451,89.51
452,89.6
453,89.66
454,89.73
455,89.8
456,89.83
457,89.9
458,89.95
459,90.07
460,90.11
461,90.12
462,90.11
463,90.1
464,90.12
465,90.17
466,90.23
467,90.32
468,90.3
469,90.33
470,90.29
471,90.3
472,90.35
473,90.36
474,90.38
475,90.46
476,90.5
477,90.5
478,90.58
479,90.6
480,90.63
481,90.65
482,90.62
483,90.68
484,90.66
485,90.71
486,90.71
487,90.74
488,90.76
489,90.73
490,90.73
491,90.72
492,90.63
493,90.61
494,90.57
495,90.51
496,90.51
497,90.51
498,90.49
499,90.46
500,90.39
501,90.32
502,90.24
503,90.22
504,90.18
505,90.16
506,90.16
507,90.18
508,90.22
509,90.24
510,90.26
511,90.29
512,90.26
513,90.27
514,90.32
515,90.38
516,90.47
517,90.53
518,90.57
519,90.64
520,90.71
521,90.81
522,90.92
523,91
524,91.08
525,91.18
526,91.31
527,91.4
528,91.48
529,91.53
530,91.58
531,91.64
532,91.66
533,91.71
534,91.75
535,91.79
536,91.82
537,91.84
538,91.82
539,91.78
540,91.74
541,91.7
542,91.68
543,91.63
544,91.57
545,91.49
546,91.4
547,91.3
548,91.22
549,91.08
550,90.93
551,90.85
552,90.74
553,90.66
554,90.59
555,90.49
556,90.39
557,90.33
558,90.25
559,90.19
560,90.13
561,90.11
562,90.06
563,90.06
564,90.07
565,90.05
566,90.03
567,90.03
568,90.06
569,90.12
570,90.2
571,90.29
572,90.32
573,90.38
574,90.47
575,90.54
576,90.62
577,90.74
578,90.87
579,90.96
580,91.09
581,91.21
582,91.31
583,91.44
584,91.55
585,91.66
586,91.76
587,91.86
588,91.92
589,92
590,92.07
591,92.12
592,92.17
593,92.15
594,92.16
595,92.2
596,92.24
597,92.29
598,92.29
599,92.28
600,92.18
601,92.15
602,92.09
603,92.02
604,91.98
605,91.83
606,91.73
607,91.61
608,91.49
609,91.42
610,91.34
611,91.21
612,91.07
613,90.93
614,90.8
615,90.68
616,90.56
617,90.42
618,90.3
619,90.22
620,90.16
621,90.11
622,90.04
623,89.94
624,89.86
625,89.76
626,89.71
627,89.59
628,89.52
629,89.49
630,89.46
631,89.46
632,89.45
633,89.44
634,89.45
635,89.47
636,89.49
637,89.53
638,89.59
639,89.66
640,89.71
641,89.75
642,89.8
643,89.85
644,89.91
645,90.01
646,90.12
647,90.26
648,90.37
649,90.46
650,90.58
651,90.7
652,90.85
653,90.98
654,91.04
655,91.16
656,91.27
657,91.36
658,91.49
659,91.59
660,91.65
661,91.74
662,91.82
663,91.92
664,91.96
665,91.97
666,92.04
667,92.05
668,92.12
669,92.14
670,92.11
671,92.16
672,92.11
673,92.13
674,92.11
675,92.08
676,92.03
677,92
678,91.96
679,91.91
680,91.82
681,91.72
682,91.62
683,91.51
684,91.43
685,91.3
686,91.24
687,91.15
688,91.05
689,90.97
690,90.76
691,90.59
692,90.48
693,90.33
694,90.28
695,90.18
696,90.02
697,89.92
698,89.72
699,89.62
700,89.5
