,wl,R
0,400.0,0.021431937797789614
1,401.0,0.028255399572665263
2,402.0,0.037163926561578124
3,403.0,0.04678238159966278
4,404.0,0.05583372454504633
5,405.0,0.06326788294160064
6,406.0,0.0683309655516506
7,407.0,0.07058530080906668
8,408.0,0.0699014022203379
9,409.0,0.06643717182128375
10,410.0,0.0606112865797874
11,411.0,0.053070394161324544
12,412.0,0.04464484383606255
13,413.0,0.036287009493697134
14,414.0,0.028986876735453523
15,415.0,0.023667810003236683
16,416.0,0.02107527847327816
17,417.0,0.021678995236891457
18,418.0,0.025610829560089456
19,419.0,0.03265441656772084
20,420.0,0.04228728950514466
21,421.0,0.0537634085070029
22,422.0,0.06621642514510018
23,423.0,0.07876065805248555
24,424.0,0.09057311654426017
25,425.0,0.10094904859417643
26,426.0,0.10933169461116324
27,427.0,0.11532325683905094
28,428.0,0.11868313936813887
29,429.0,0.11931618967603022
30,430.0,0.11726031287828749
31,431.0,0.11267517679243234
32,432.0,0.10583219637053866
33,433.0,0.09710453694664874
34,434.0,0.08695477391951058
35,435.0,0.0759171590709976
36,436.0,0.06457451016991061
37,437.0,0.05352665706058195
38,438.0,0.04335065380141783
39,439.0,0.03455701775953098
40,440.0,0.027547659126052962
41,441.0,0.022582199160803833
42,442.0,0.01975868941149792
43,443.0,0.019012294616299694
44,444.0,0.020131965840365605
45,445.0,0.02279163896644432
46,446.0,0.02659012868852358
47,447.0,0.031093198117096335
48,448.0,0.03587236108278354
49,449.0,0.04053657719700071
50,450.0,0.04475504926106448
51,451.0,0.04827135247048441
52,452.0,0.05091011390428653
53,453.0,0.05257786991920501
54,454.0,0.053259650707032924
55,455.0,0.05301248699954699
56,456.0,0.051956603143077935
57,457.0,0.050264678714570236
58,458.0,0.048149321404137
59,459.0,0.04584893394599688
60,460.0,0.043612247903391306
61,461.0,0.041682076784882366
62,462.0,0.04027917389581919
63,463.0,0.039587359032336795
64,464.0,0.039741204000738155
65,465.0,0.040817467279212025
66,466.0,0.042831133360399086
67,467.0,0.04573641213620891
68,468.0,0.04943221295696806
69,469.0,0.05377137408340515
70,470.0,0.05857250716436893
71,471.0,0.06363303093599038
72,472.0,0.06874208639622449
73,473.0,0.0736922817030275
74,474.0,0.07828956791640904
75,475.0,0.08236091205643407
76,476.0,0.08575974623675477
77,477.0,0.08836939529153293
78,478.0,0.09010486565956992
79,479.0,0.09091329704632858
80,480.0,0.0907732762679364
81,481.0,0.0896934789745354
82,482.0,0.08771079143557349
83,483.0,0.08488801643314964
84,484.0,0.08131120434755738
85,485.0,0.07708660231215142
86,486.0,0.07233719164872227
87,487.0,0.06719878751808037
88,488.0,0.061815704033039154
89,489.0,0.05633603783705532
90,490.0,0.050906685815829716
91,491.0,0.04566827798148647
92,492.0,0.04075026288248626
93,493.0,0.036266418536182135
94,494.0,0.03231106780850098
95,495.0,0.028956252685145945
96,496.0,0.0262500500302078
97,497.0,0.024216115809326467
98,498.0,0.022854462062994022
99,499.0,0.022143362525376638
100,500.0,0.02204219400171415
101,501.0,0.022494959276720267
102,502.0,0.02343420756942335
103,503.0,0.0247850704606885
104,504.0,0.026469160008269346
105,505.0,0.028408123482274984
106,506.0,0.030526706692360774
107,507.0,0.03275523677219744
108,508.0,0.03503148893763308
109,509.0,0.037301945963168846
110,510.0,0.03952249270055771
111,511.0,0.04165860743680287
112,512.0,0.043685125430798284
113,513.0,0.04558565845830908
114,514.0,0.04735174726062528
115,515.0,0.04898182110306139
116,516.0,0.050480032562210855
117,517.0,0.05185502855560288
118,518.0,0.053118711388584386
119,519.0,0.054285036502319674
120,520.0,0.05536888669175372
121,521.0,0.056385055473441074
122,522.0,0.05734736589064562
123,523.0,0.05826794435917574
124,524.0,0.059156660617998374
125,525.0,0.060020738668118696
126,526.0,0.06086453640114161
127,527.0,0.06168948522512246
128,528.0,0.062494175097630604
129,529.0,0.06327456557629291
130,530.0,0.06402430021329712
131,531.0,0.06473509951052549
132,532.0,0.06539720698358617
133,533.0,0.06599986352423026
134,534.0,0.06653178709465676
135,535.0,0.06698164573284612
136,536.0,0.06733849935793021
137,537.0,0.06759217350723717
138,538.0,0.06773358743348723
139,539.0,0.0677550219204111
140,540.0,0.06765032247436654
141,541.0,0.06741503804565187
142,542.0,0.0670464978725714
143,543.0,0.06654383099478421
144,544.0,0.06590793446286557
145,545.0,0.06514139731927092
146,546.0,0.06424838807809925
147,547.0,0.06323451374047855
148,548.0,0.0621066583966718
149,549.0,0.06087280922846621
150,550.0,0.0595418772743201
151,551.0,0.05812351881518951
152,552.0,0.05662794618350092
153,553.0,0.0550657731443785
154,554.0,0.0534478960254707
155,555.0,0.05178537466883071
156,556.0,0.050089334113602016
157,557.0,0.048370888769386944
158,558.0,0.04664108877127283
159,559.0,0.0449108871323312
160,560.0,0.043191125325383814
161,561.0,0.041492534068387814
162,562.0,0.03982574539000824
163,563.0,0.038201311537117824
164,564.0,0.03662972597256652
165,565.0,0.0351214416234513
166,566.0,0.033686881666739124
167,567.0,0.032336438483044794
168,568.0,0.0310804569573177
