,Acrylic_k,Acrylic_SE,OC_SE,OC_k,ITO_SE,SiN_SE,SiO2_SE,Acrylic_wk,OC_wk,sodalime_w,sodalime_n,sodalime_wk,sodalime_k,ITO_2_w,ITO_2_n,ITO_2_wk,ITO_2_k,OC_LENS_n,OC_LENS_k,OC_LENS_w,OC_LENS_wk,OC_HRI_LENS_n,OC_HRI_LENS_k,OC_HRI_LENS_w,OC_HRI_LENS_wk,SiN_INFO_n,SiN_INFO_k,SiN_INFO_w,SiN_INFO_wk,ITO_INFO_n,ITO_INFO_k,ITO_INFO_w,ITO_INFO_wk,SiN_LENS_SE,ITO_LENS_SE,ITO_LENS_k,ITO_LENS_wk,SiO2_LENS_SE,SiO2_Nanya_n,SiO2_Nanya_k,SiO2_Nanya_w,SiO2_Nanya_wk,Nb2O5_Nanya_n,Nb2O5_Nanya_k,Nb2O5_Nanya_w,Nb2O5_Nanya_wk,ITO_Nanya_n,ITO_Nanya_k,ITO_Nanya_w,ITO_Nanya_wk,OC_Nanya_n,OC_Nanya_k,OC_Nanya_w,OC_Nanya_wk,SiO2_NSNT_SE,Corning1737_NSNT_SE,ITO1_Nanya_n,ITO1_Nanya_k,ITO1_Nanya_w,ITO1_Nanya_wk,ITO_LT_Nanya_n,ITO_LT_Nanya_k,ITO_LT_Nanya_w,ITO_LT_Nanya_wk,sodalime_Nanya_n,sodalime_Nanya_k,sodalime_Nanya_w,Unnamed: 68,Unnamed: 69,Nanya_sodalime_n,Nanya_sodalime_k,Nanya_sodalime_w,Nanya_sodalime_wk
10,0.01561972,,,0.016793214,,,,312.47469,331.3795671000001,0.7390000000000001,1.518524145,0.41,2.18e-07,0.416939636,2.040565,0.416939636,0.008577,1.6769,0.0,262.092,262.092,1.73863234,0.0,310.0,310.0,2.004,0.0,0.35,0.35,2.43772396,0.0,0.26748,0.26748,,,0.04342449,461.2244898,,1.504088366,0.023412516,340.0,340.0,2.474960005,0.024534616,340.0,340.0,2.008794944,0.072524867,340.0,340.0,1.485945,0.00649778,393.43512,393.43512,,,2.251080201,0.06296399400000001,310,310,2.54139079,0.656654186,310,310,1.53023,0.0,404.7,,,1.569577,0.0,261.7966,261.7966
11,0.014588068,,,0.016066371,,,,317.6524867,335.0940591,0.7819,1.517543129,0.42,2.28e-07,0.418528809,2.038484,0.418528809,0.008284,1.6749,0.0,263.693,263.693,1.73667032,0.0,311.0,311.0,1.995,0.0,0.36,0.36,2.44327819,0.0,0.26907,0.26907,,,0.042946939,467.3469388,,1.5042626630000002,0.022994438,341.0,341.0,2.472162712,0.024481045,341.0,341.0,2.008841461,0.072843361,341.0,341.0,1.4856439,0.0064820730000000005,394.68307,394.68307,,,2.243559932,0.06036839099999999,311,311,2.535618427,0.619396741,311,311,1.52839,0.0,420.0,,,1.568991,0.0,263.386505,263.386505
12,0.0137909,,,0.015011273,,,,322.042274,340.38441760000006,0.8248,1.5166680890000002,0.43,2.4e-07,0.42011792,2.036436,0.42011792,0.008004,1.6727,0.0,265.295,265.295,1.73473245,0.0,312.0,312.0,1.987,0.0,0.37,0.37,2.44723468,0.0,0.27067,0.27067,,,0.042469388,473.46938780000005,,1.504427781,0.02258815,342.0,342.0,2.469383289,0.024426632,342.0,342.0,2.008837842,0.07315862299999999,342.0,342.0,1.4853456,0.006466404,395.939,395.939,,,2.236506516,0.057941562,312,312,2.529075824,0.584746596,312,312,1.52669,0.0,435.8,,,1.568409,0.0,264.976379,264.976379
13,0.013134435,,,0.014284467,,,,326.2068363,344.8866656,0.8677,1.515876346,0.44,2.34e-07,0.421707092,2.03442,0.421707092,0.007737000000000002,1.6705,0.0,266.896,266.896,1.73282552,0.0,313.0,313.0,1.98,0.0,0.38,0.38,2.4496167,0.0,0.27226,0.27226,,,0.041991837,479.5918367,,1.5045841030000002,0.022193249,343.0,343.0,2.466621607,0.02437141,343.0,343.0,2.008785462,0.07347058299999999,343.0,343.0,1.4850502,0.006450772,397.2029,397.2029,,,2.229882561,0.05566902,313,313,2.521971746,0.552527006,313,313,1.52443,0.0,460.0,,,1.5678299999999998,0.0,266.566223,266.566223
14,0.012266959,,,0.013346661,,,,331.6095288,350.8521169,0.9106,1.515150433,0.45,1.93e-07,0.423296143,2.032434,0.423296143,0.007481999999999998,1.6678,0.0,268.497,268.497,1.73095473,0.0,314.0,314.0,1.973,0.0,0.39,0.39,2.4504812,0.0,0.27385,0.27385,,,0.041514286,485.7142857,,1.5047319890000002,0.021809346,344.0,344.0,2.46387754,0.024315414,344.0,344.0,2.008685659,0.073779174,344.0,344.0,1.4847576999999998,0.006435178000000001,398.4749,398.4749,,,2.223653984,0.053537813,314,314,2.514477861,0.522564151,314,314,1.52141,0.0,500.0,,,1.567254,0.0,268.156067,268.156067
15,0.011469855,,,0.012619882,,,,337.34975489999994,355.9170477,0.9535,1.514476723,0.46,1.67e-07,0.424885254,2.030478,0.424885254,0.007239,1.6661,0.0,270.099,270.099,1.72912385,0.0,315.0,315.0,1.967,0.0,0.4,0.4,2.44991257,0.0,0.27544,0.27544,,,0.041036735,491.8367347,,1.504871781,0.021436065,345.0,345.0,2.461150961,0.024258678,345.0,345.0,2.008539737,0.07408433,345.0,345.0,1.4844678999999998,0.006419622,399.75513,399.75513,,,2.217789671,0.051536329000000006,315,315,2.506734234,0.49469033,315,315,1.51872,0.0,546.1,,,1.566682,0.0,269.745911,269.745911
16,0.010743108,,,0.012057203999999998,,,,343.08990510000007,359.63136230000015,0.9964,1.5138444569999998,0.47,1.7e-07,0.426474365,2.028551,0.426474365,0.007006999999999999,1.6644,0.0,271.7,271.7,1.72733547,0.0,316.0,316.0,1.961,0.0,0.41,0.41,2.44801587,0.0,0.27703,0.27703,,,0.040559184,497.9591837,,1.5050038019999998,0.021073043,346.0,346.0,2.458441745,0.024201234,346.0,346.0,2.008348964,0.074385989,346.0,346.0,1.4841808,0.006404104,401.04355,401.04355,,,2.2122611830000003,0.049654135,316,316,2.498854246,0.468746011,316,316,1.51712,0.0,580.0,,,1.566114,0.0,271.335754,271.335754
17,0.009992918,,,0.011260142,,,,349.0551538,366.2718811,1.039,1.513249144,0.48,1.68e-07,0.428063416,2.026651,0.428063416,0.006786,1.6633,0.0,273.301,273.301,1.7255911,0.0,317.0,317.0,1.956,0.0,0.42,0.42,2.4449101000000004,0.0,0.27862,0.27862,,,0.040081633,504.0816327,,1.5051283569999998,0.020719933,347.0,347.0,2.455749766,0.024143114,347.0,347.0,2.008114575,0.074684091,347.0,347.0,1.4838965,0.006388623,402.34036,402.34036,,,2.207042491,0.04788183,317,317,2.490928917,0.444581016,317,317,1.51554,0.0,620.0,,,1.565549,0.0,272.925598,272.925598
18,0.009242766,,,0.010580283,,,,355.8081585,371.6743709,1.082,1.512674206,0.49,1.55e-07,0.429652496,2.024778,0.429652496,0.006573999999999999,1.6628,0.0,274.903,274.903,1.72389139,0.0,318.0,318.0,1.952,0.0,0.43,0.43,2.44072204,0.0,0.28022,0.28022,,,0.039604082,510.20408160000005,,1.505245736,0.020376397,348.0,348.0,2.453074901,0.024084348,348.0,348.0,2.0078377730000003,0.074978577,348.0,348.0,1.4836148999999998,0.00637318,403.6455,403.6455,,,2.202109739,0.046210932,318,318,2.483030631,0.422055098,318,318,1.51421,0.0,660.0,,,1.5649879999999998,0.0,274.515411,274.515411
19,0.008398895,,,0.00973637,,,,364.4743861,379.440306,1.125,1.512119704,0.5,1.49e-07,0.431241516,2.0229310000000003,0.431241516,0.006372,1.6619,0.0,276.504,276.504,1.72223629,0.0,319.0,319.0,1.947,0.0,0.44,0.44,2.43558114,0.0,0.28181,0.28181,,,0.039126531,516.3265306,,1.505356212,0.020042113,349.0,349.0,2.450417028,0.024024968,349.0,349.0,2.007519726,0.075269392,349.0,349.0,1.4833361,0.006357774,404.9592,404.9592,,,2.197441042,0.044633764000000006,319,319,2.47521633,0.4010380670000001,319,319,1.51306,0.0,700.0,,,1.564432,0.0,276.105194,276.105194
