nm,n,k
667.476929,1.545065,0
669.052307,1.544991,0
670.627563,1.544917,0
672.202637,1.544843,0
673.77771,1.54477,0
675.3526,1.544698,0
676.927368,1.544627,0
678.502075,1.544556,0
680.076721,1.544485,0
681.651184,1.544415,0
683.225586,1.544346,0
684.799866,1.544277,0
686.374023,1.544209,0
687.94812,1.544141,0
689.522034,1.544074,0
691.095825,1.544008,0
692.669556,1.543941,0
694.243225,1.543876,0
695.816772,1.543811,0
697.390137,1.543746,0
698.96344,1.543682,0
700.53656,1.543619,0
702.10968,1.543556,0
703.682617,1.543493,0
705.255493,1.543431,0
706.828186,1.54337,0
708.400757,1.543309,0
709.973267,1.543248,0
711.545654,1.543188,0
713.11792,1.543128,0
714.690063,1.543069,0
716.262146,1.54301,0
717.834106,1.542952,0
719.405884,1.542894,0
720.977539,1.542836,0
722.549133,1.542779,0
724.120605,1.542723,0
725.691956,1.542667,0
727.263123,1.542611,0
728.83429,1.542555,0
730.405212,1.542501,0
731.976135,1.542446,0
733.546875,1.542392,0
735.117493,1.542338,0
736.687988,1.542285,0
738.258423,1.542232,0
739.828674,1.542179,0
741.398804,1.542127,0
742.968872,1.542075,0
744.538696,1.542024,0
746.108521,1.541973,0
747.678162,1.541922,0
749.247681,1.541872,0
750.817139,1.541822,0
752.386414,1.541772,0
753.955566,1.541723,0
755.524597,1.541674,0
757.093506,1.541626,0
758.662292,1.541578,0
760.230957,1.54153,0
761.7995,1.541482,0
763.36792,1.541435,0
764.936218,1.541388,0
766.504395,1.541342,0
768.072388,1.541295,0
769.64032,1.54125,0
771.20813,1.541204,0
772.775757,1.541159,0
774.343262,1.541114,0
775.910645,1.541069,0
777.477905,1.541025,0
779.045044,1.540981,0
780.612061,1.540937,0
782.178894,1.540894,0
783.745667,1.540851,0
785.312256,1.540808,0
786.878784,1.540765,0
788.445068,1.540723,0
790.011292,1.540681,0
791.577393,1.54064,0
793.143311,1.540598,0
794.709106,1.540557,0
796.27478,1.540516,0
797.840393,1.540476,0
799.405762,1.540435,0
800.971069,1.540395,0
802.536194,1.540356,0
804.101196,1.540316,0
805.666077,1.540277,0
807.230835,1.540238,0
808.79541,1.540199,0
810.359863,1.540161,0
811.924194,1.540123,0
813.488403,1.540085,0
815.052429,1.540047,0
816.616333,1.540009,0
818.180054,1.539972,0
819.743774,1.539935,0
821.307251,1.539899,0
822.870605,1.539862,0
824.433777,1.539826,0
825.996887,1.53979,0
827.559753,1.539754,0
829.122559,1.539718,0
830.685242,1.539683,0
832.247742,1.539648,0
833.810059,1.539613,0
835.372253,1.539578,0
836.934387,1.539544,0
838.496277,1.53951,0
840.058105,1.539475,0
841.619751,1.539442,0
843.181274,1.539408,0
844.742554,1.539375,0
846.303833,1.539341,0
847.864868,1.539308,0
849.425781,1.539276,0
850.986633,1.539243,0
852.54718,1.539211,0
854.107727,1.539179,0
855.667969,1.539147,0
857.22821,1.539115,0
858.788208,1.539083,0
860.348145,1.539052,0
861.907837,1.539021,0
863.467468,1.53899,0
865.026855,1.538959,0
866.586121,1.538928,0
868.145325,1.538898,0
869.704285,1.538867,0
871.263184,1.538837,0
872.821777,1.538808,0
874.380371,1.538778,0
875.938782,1.538748,0
877.496948,1.538719,0
879.055054,1.53869,0
880.612976,1.538661,0
882.170715,1.538632,0
883.728333,1.538603,0
885.285828,1.538575,0
886.84314,1.538546,0
888.400269,1.538518,0
889.957336,1.53849,0
891.51416,1.538462,0
893.070801,1.538435,0
894.627319,1.538407,0
896.183716,1.53838,0
897.739929,1.538352,0
899.296021,1.538325,0
900.851868,1.538299,0
902.407593,1.538272,0
903.963196,1.538245,0
905.518677,1.538219,0
907.073914,1.538193,0
908.629028,1.538166,0
910.18396,1.538141,0
911.73877,1.538115,0
913.293335,1.538089,0
914.847839,1.538064,0
916.402161,1.538038,0
917.956238,1.538013,0
919.510254,1.537988,0
921.064087,1.537963,0
922.617798,1.537938,0
924.171204,1.537913,0
925.724609,1.537889,0
927.27771,1.537864,0
928.83075,1.53784,0
930.383606,1.537816,0
931.936218,1.537792,0
933.48877,1.537768,0
935.041138,1.537744,0
936.593262,1.537721,0
938.145325,1.537697,0
939.697083,1.537674,0
