nm,n_top,k_top,n_bottom,k_bottom
624.263794,1.966907,0.000905,2.031284,0.000955
627.413757,1.965436,0.00092,2.029732,0.000971
630.595703,1.963956,0.000935,2.02817,0.000986
633.810059,1.962465,0.00095,2.026597,0.001002
637.057312,1.960965,0.000965,2.025014,0.001018
640.338074,1.959454,0.000981,2.023419,0.001035
643.652771,1.957931,0.000997,2.021812,0.001052
647.002014,1.956398,0.001013,2.020194,0.001069
650.386292,1.954852,0.00103,2.018563,0.001087
653.806091,1.953294,0.001047,2.016918,0.001105
657.262085,1.951723,0.001065,2.01526,0.001124
660.754822,1.950138,0.001083,2.013588,0.001143
664.284851,1.94854,0.001101,2.011902,0.001162
667.852844,1.946928,0.00112,2.0102,0.001182
671.45929,1.945301,0.001139,2.008483,0.001202
675.104919,1.943659,0.001159,2.006749,0.001223
678.790405,1.942001,0.001179,2.004999,0.001244
682.516357,1.940326,0.001199,2.003232,0.001266
686.283386,1.938635,0.00122,2.001447,0.001288
690.092285,1.936926,0.001242,1.999643,0.001311
693.943665,1.9352,0.001264,1.997821,0.001334
697.838257,1.933455,0.001287,1.995979,0.001358
701.776855,1.931691,0.00131,1.994117,0.001382
705.760132,1.929907,0.001333,1.992234,0.001407
709.78894,1.928103,0.001357,1.990329,0.001433
713.863892,1.926278,0.001382,1.988402,0.001459
717.985962,1.924431,0.001408,1.986453,0.001486
722.155884,1.922561,0.001434,1.984479,0.001514
726.374634,1.920669,0.001461,1.982482,0.001542
730.642883,1.918753,0.001488,1.980459,0.001571
734.961548,1.916813,0.001516,1.97841,0.001601
739.331665,1.914847,0.001545,1.976334,0.001631
743.754028,1.912855,0.001574,1.974231,0.001662
748.229614,1.910836,0.001605,1.9721,0.001694
752.759399,1.90879,0.001636,1.969939,0.001727
757.344299,1.906715,0.001667,1.967749,0.001761
761.985474,1.904611,0.0017,1.965527,0.001795
766.683838,1.902476,0.001734,1.963273,0.001831
771.440552,1.900311,0.001768,1.960985,0.001867
776.256592,1.898113,0.001804,1.958664,0.001905
781.133179,1.895881,0.00184,1.956308,0.001943
786.071411,1.893616,0.001877,1.953915,0.001983
791.07251,1.891315,0.001916,1.951485,0.002023
796.137573,1.888977,0.001955,1.949017,0.002065
801.268005,1.886603,0.001996,1.946508,0.002108
806.464966,1.884189,0.002037,1.943959,0.002152
811.729736,1.881735,0.00208,1.941368,0.002197
817.063721,1.879241,0.002124,1.938732,0.002244
822.468262,1.876703,0.00217,1.936052,0.002292
827.944824,1.874122,0.002216,1.933326,0.002341
833.494751,1.871495,0.002265,1.930551,0.002392
839.119629,1.868822,0.002314,1.927727,0.002445
844.820923,1.866101,0.002365,1.924852,0.002498
850.600281,1.863329,0.002417,1.921924,0.002554
856.459167,1.860507,0.002471,1.918942,0.002611
862.399292,1.857631,0.002527,1.915903,0.00267
868.422485,1.8547,0.002584,1.912807,0.002731
874.530396,1.851713,0.002644,1.90965,0.002793
880.724792,1.848667,0.002705,1.906432,0.002858
887.007629,1.845561,0.002768,1.90315,0.002925
893.380676,1.842392,0.002833,1.899801,0.002993
