,n1,n2,k1,k2
474.614655,2.382083,2.350928,0,0
476.199951,2.380878,2.349403,0,0
477.785248,2.37969,2.3479,0,0
479.370453,2.378521,2.34642,0,0
480.955627,2.37737,2.344961,0,0
482.54071,2.376235,2.343523,0,0
484.125732,2.375118,2.342106,0,0
485.710754,2.374017,2.340709,0,0
487.295654,2.372932,2.339332,0,0
488.880463,2.371863,2.337975,0,0
490.465271,2.37081,2.336636,0,0
492.049988,2.369771,2.335317,0,0
493.634674,2.368748,2.334015,0,0
495.219299,2.367739,2.332732,0,0
496.803802,2.366744,2.331466,0,0
498.388275,2.365763,2.330217,0,0
499.972656,2.364796,2.328985,0,0
501.557037,2.363843,2.32777,0,0
503.141296,2.362902,2.326571,0,0
504.725494,2.361974,2.325388,0,0
506.309662,2.361059,2.32422,0,0
507.893707,2.360156,2.323068,0,0
509.477722,2.359265,2.321931,0,0
511.061676,2.358387,2.320809,0,0
512.645569,2.357519,2.319701,0,0
514.22937,2.356663,2.318607,0,0
515.81311,2.355819,2.317527,0,0
517.39679,2.354985,2.316461,0,0
518.980347,2.354162,2.315408,0,0
520.563904,2.35335,2.314369,0,0
522.147339,2.352548,2.313343,0,0
523.730774,2.351757,2.312329,0,0
525.314087,2.350975,2.311328,0,0
526.897339,2.350204,2.310339,0,0
528.48053,2.349441,2.309362,0,0
530.063599,2.348689,2.308397,0,0
531.646606,2.347945,2.307444,0,0
533.229614,2.347211,2.306502,0,0
534.8125,2.346486,2.305571,0,0
536.395325,2.34577,2.304652,0,0
537.978027,2.345062,2.303743,0,0
539.560669,2.344363,2.302845,0,0
541.143311,2.343672,2.301958,0,0
542.72583,2.34299,2.30108,0,0
544.308228,2.342315,2.300214,0,0
545.890625,2.341649,2.299357,0,0
547.472961,2.34099,2.29851,0,0
549.055115,2.340339,2.297672,0,0
550.637329,2.339696,2.296844,0,0
552.21936,2.33906,2.296026,0,0
553.801331,2.338431,2.295217,0,0
555.38324,2.33781,2.294417,0,0
556.965088,2.337195,2.293625,0,0
558.546814,2.336588,2.292843,0,0
560.128479,2.335988,2.292069,0,0
561.710083,2.335394,2.291304,0,0
563.291626,2.334807,2.290547,0,0
564.873047,2.334226,2.289798,0,0
566.454407,2.333652,2.289058,0,0
568.035645,2.333084,2.288325,0,0
569.616821,2.332523,2.287601,0,0
571.197937,2.331967,2.286884,0,0
572.778992,2.331418,2.286175,0,0
574.359924,2.330874,2.285473,0,0
575.940796,2.330337,2.284779,0,0
577.521606,2.329805,2.284092,0,0
579.102234,2.329279,2.283412,0,0
580.682861,2.328758,2.282739,0,0
582.263428,2.328243,2.282073,0,0
583.843872,2.327734,2.281415,0,0
585.424194,2.327229,2.280763,0,0
587.004517,2.32673,2.280118,0,0
588.584656,2.326236,2.279479,0,0
590.164795,2.325748,2.278847,0,0
591.744751,2.325264,2.278221,0,0
593.324707,2.324785,2.277601,0,0
594.904602,2.324312,2.276988,0,0
596.484314,2.323843,2.276381,0,0
598.064026,2.323379,2.27578,0,0
599.643555,2.322919,2.275185,0,0
601.223022,2.322464,2.274595,0,0
602.80249,2.322014,2.274012,0,0
604.381775,2.321568,2.273434,0,0
605.960999,2.321126,2.272862,0,0
607.540161,2.320689,2.272296,0,0
609.119202,2.320257,2.271735,0,0
610.69812,2.319828,2.271179,0,0
612.276978,2.319404,2.270629,0,0
613.855774,2.318984,2.270084,0,0
615.434448,2.318568,2.269544,0,0
617.013062,2.318156,2.26901,0,0
618.591553,2.317748,2.26848,0,0
620.169922,2.317343,2.267955,0,0
621.74823,2.316943,2.267436,0,0
623.326477,2.316546,2.266921,0,0
624.904602,2.316154,2.266411,0,0
626.482605,2.315765,2.265906,0,0
628.060547,2.315379,2.265405,0,0
629.638367,2.314997,2.264909,0,0
631.216125,2.314619,2.264418,0,0
632.793762,2.314245,2.263931,0,0
634.371277,2.313873,2.263449,0,0
635.94873,2.313505,2.262971,0,0
637.526123,2.313141,2.262497,0,0
639.103394,2.31278,2.262028,0,0
640.680542,2.312422,2.261562,0,0
642.257568,2.312068,2.261101,0,0
643.834595,2.311716,2.260644,0,0
645.411438,2.311368,2.260192,0,0
646.988159,2.311023,2.259743,0,0
648.564819,2.310681,2.259298,0,0
650.141418,2.310343,2.258857,0,0
651.717896,2.310007,2.25842,0,0
653.29425,2.309674,2.257987,0,0
654.870483,2.309344,2.257557,0,0
656.446655,2.309017,2.257132,0,0
658.022766,2.308693,2.25671,0,0
659.598694,2.308371,2.256291,0,0
661.174561,2.308053,2.255876,0,0
662.750305,2.307737,2.255465,0,0
664.325989,2.307424,2.255058,0,0
665.901489,2.307114,2.254653,0,0
667.476929,2.306806,2.254252,0,0
669.052307,2.306501,2.253855,0,0
670.627563,2.306199,2.253461,0,0
672.202637,2.305899,2.25307,0,0
673.77771,2.305602,2.252683,0,0
675.3526,2.305307,2.252299,0,0
676.927368,2.305015,2.251917,0,0
678.502075,2.304725,2.25154,0,0
680.076721,2.304437,2.251165,0,0
681.651184,2.304152,2.250793,0,0
683.225586,2.30387,2.250425,0,0
684.799866,2.30359,2.250059,0,0
686.374023,2.303312,2.249696,0,0
687.94812,2.303036,2.249337,0,0
689.522034,2.302763,2.24898,0,0
691.095825,2.302491,2.248626,0,0
692.669556,2.302222,2.248275,0,0
694.243225,2.301956,2.247927,0,0
695.816772,2.301691,2.247582,0,0
697.390137,2.301429,2.247239,0,0
698.96344,2.301168,2.246899,0,0
700.53656,2.30091,2.246562,0,0
702.10968,2.300654,2.246228,0,0
703.682617,2.3004,2.245896,0,0
705.255493,2.300148,2.245566,0,0
706.828186,2.299898,2.24524,0,0
708.400757,2.299649,2.244916,0,0
709.973267,2.299403,2.244594,0,0
711.545654,2.299159,2.244275,0,0
713.11792,2.298917,2.243958,0,0
714.690063,2.298676,2.243644,0,0
716.262146,2.298438,2.243332,0,0
717.834106,2.298201,2.243023,0,0
719.405884,2.297966,2.242716,0,0
720.977539,2.297733,2.242412,0,0
722.549133,2.297502,2.242109,0,0
724.120605,2.297272,2.241809,0,0
725.691956,2.297045,2.241511,0,0
727.263123,2.296819,2.241216,0,0
728.83429,2.296595,2.240923,0,0
730.405212,2.296372,2.240632,0,0
731.976135,2.296151,2.240343,0,0
733.546875,2.295932,2.240056,0,0
735.117493,2.295714,2.239772,0,0
736.687988,2.295498,2.239489,0,0
738.258423,2.295284,2.239209,0,0
739.828674,2.295071,2.23893,0,0
741.398804,2.29486,2.238654,0,0
742.968872,2.294651,2.23838,0,0
744.538696,2.294443,2.238108,0,0
746.108521,2.294236,2.237838,0,0
747.678162,2.294031,2.237569,0,0
749.247681,2.293828,2.237303,0,0
750.817139,2.293626,2.237039,0,0
752.386414,2.293425,2.236776,0,0
753.955566,2.293226,2.236516,0,0
755.524597,2.293029,2.236257,0,0
757.093506,2.292833,2.236,0,0
758.662292,2.292638,2.235745,0,0
760.230957,2.292444,2.235492,0,0
761.7995,2.292253,2.23524,0,0
763.36792,2.292062,2.234991,0,0
764.936218,2.291873,2.234743,0,0
766.504395,2.291685,2.234497,0,0
768.072388,2.291498,2.234252,0,0
769.64032,2.291313,2.23401,0,0
771.20813,2.291129,2.233769,0,0
772.775757,2.290947,2.23353,0,0
774.343262,2.290765,2.233292,0,0
775.910645,2.290585,2.233056,0,0
777.477905,2.290406,2.232822,0,0
779.045044,2.290229,2.232589,0,0
780.612061,2.290053,2.232358,0,0
782.178894,2.289878,2.232128,0,0
783.745667,2.289704,2.2319,0,0
785.312256,2.289531,2.231674,0,0
786.878784,2.28936,2.231449,0,0
788.445068,2.289189,2.231226,0,0
790.011292,2.28902,2.231004,0,0
791.577393,2.288852,2.230784,0,0
793.143311,2.288685,2.230565,0,0
794.709106,2.288519,2.230348,0,0
796.27478,2.288355,2.230132,0,0
797.840393,2.288191,2.229918,0,0
799.405762,2.288029,2.229705,0,0
800.971069,2.287868,2.229493,0,0
802.536194,2.287708,2.229283,0,0
804.101196,2.287548,2.229074,0,0
805.666077,2.28739,2.228867,0,0
807.230835,2.287233,2.228661,0,0
808.79541,2.287077,2.228456,0,0
810.359863,2.286922,2.228253,0,0
811.924194,2.286768,2.228051,0,0
813.488403,2.286616,2.22785,0,0
815.052429,2.286464,2.227651,0,0
816.616333,2.286313,2.227453,0,0
818.180054,2.286163,2.227256,0,0
819.743774,2.286014,2.227061,0,0
821.307251,2.285866,2.226866,0,0
822.870605,2.285719,2.226673,0,0
824.433777,2.285573,2.226482,0,0
825.996887,2.285428,2.226291,0,0
827.559753,2.285284,2.226102,0,0
829.122559,2.285141,2.225914,0,0
830.685242,2.284998,2.225727,0,0
832.247742,2.284857,2.225541,0,0
833.810059,2.284716,2.225357,0,0
835.372253,2.284577,2.225173,0,0
836.934387,2.284438,2.224991,0,0
838.496277,2.2843,2.22481,0,0
840.058105,2.284163,2.22463,0,0
841.619751,2.284027,2.224452,0,0
843.181274,2.283892,2.224274,0,0
844.742554,2.283757,2.224097,0,0
846.303833,2.283624,2.223922,0,0
847.864868,2.283491,2.223748,0,0
849.425781,2.283359,2.223574,0,0
850.986633,2.283228,2.223402,0,0
852.54718,2.283098,2.223231,0,0
854.107727,2.282969,2.223061,0,0
