n_top,n_bot,k_top,k_bot
2.051896,2.119737,0.005226,0.005504
2.050591,2.118362,0.005112,0.005385
2.0493,2.117002,0.005001,0.005268
2.048023,2.115657,0.004894,0.005155
2.046759,2.114325,0.004789,0.005044
2.045508,2.113008,0.004686,0.004936
2.04427,2.111703,0.004587,0.004831
2.043044,2.110412,0.004489,0.004729
2.041831,2.109133,0.004394,0.004629
2.040629,2.107867,0.004302,0.004532
2.039438,2.106614,0.004212,0.004437
2.03826,2.105372,0.004124,0.004345
2.037092,2.104141,0.004038,0.004254
2.035934,2.102922,0.003955,0.004166
2.034788,2.101714,0.003873,0.004081
2.033652,2.100517,0.003794,0.003997
2.032526,2.099331,0.003716,0.003915
2.031409,2.098155,0.003641,0.003836
2.030303,2.096989,0.003567,0.003758
2.029205,2.095833,0.003495,0.003682
2.028117,2.094687,0.003425,0.003608
2.027038,2.09355,0.003356,0.003536
2.025968,2.092422,0.00329,0.003466
2.024907,2.091304,0.003224,0.003397
2.023854,2.090194,0.003161,0.00333
2.022809,2.089094,0.003098,0.003265
2.021772,2.088002,0.003038,0.003201
2.020744,2.086918,0.002978,0.003138
2.019723,2.085842,0.002921,0.003077
2.01871,2.084774,0.002864,0.003018
2.017704,2.083715,0.002809,0.00296
2.016706,2.082663,0.002755,0.002903
2.015714,2.081618,0.002703,0.002848
2.01473,2.080581,0.002651,0.002794
2.013752,2.079551,0.002601,0.002741
2.012782,2.078528,0.002552,0.002689
2.011818,2.077512,0.002504,0.002639
2.01086,2.076503,0.002457,0.002589
2.009909,2.075501,0.002412,0.002541
2.008964,2.074505,0.002367,0.002494
2.008025,2.073515,0.002323,0.002448
2.007092,2.072532,0.002281,0.002403
2.006165,2.071555,0.002239,0.002359
2.005243,2.070584,0.002198,0.002316
2.004327,2.069619,0.002158,0.002274
2.003417,2.06866,0.002119,0.002233
2.002512,2.067706,0.002081,0.002193
2.001612,2.066758,0.002044,0.002154
2.000718,2.065815,0.002008,0.002116
1.999829,2.064878,0.001972,0.002078
1.998944,2.063946,0.001937,0.002042
1.998065,2.063019,0.001903,0.002006
1.99719,2.062098,0.00187,0.001971
1.99632,2.061181,0.001837,0.001936
1.995455,2.060269,0.001805,0.001903
1.994594,2.059361,0.001774,0.00187
1.993738,2.058459,0.001744,0.001838
1.992886,2.057561,0.001714,0.001806
1.992038,2.056668,0.001685,0.001776
1.991194,2.055779,0.001656,0.001746
1.990355,2.054894,0.001628,0.001716
1.98952,2.054013,0.001601,0.001687
1.988688,2.053137,0.001574,0.001659
1.987861,2.052264,0.001548,0.001632
1.987037,2.051396,0.001522,0.001605
1.986217,2.050532,0.001497,0.001578
1.9854,2.049671,0.001473,0.001552
