nm,n,k
667.476929,1.510128,0
669.052307,1.510062,0
670.627563,1.509996,0
672.202637,1.50993,0
673.77771,1.509864,0
675.3526,1.509799,0
676.927368,1.509735,0
678.502075,1.509671,0
680.076721,1.509607,0
681.651184,1.509544,0
683.225586,1.509481,0
684.799866,1.509419,0
686.374023,1.509357,0
687.94812,1.509295,0
689.522034,1.509234,0
691.095825,1.509173,0
692.669556,1.509113,0
694.243225,1.509053,0
695.816772,1.508993,0
697.390137,1.508934,0
698.96344,1.508875,0
700.53656,1.508817,0
702.10968,1.508759,0
703.682617,1.508701,0
705.255493,1.508644,0
706.828186,1.508587,0
708.400757,1.50853,0
709.973267,1.508474,0
711.545654,1.508418,0
713.11792,1.508362,0
714.690063,1.508307,0
716.262146,1.508252,0
717.834106,1.508198,0
719.405884,1.508144,0
720.977539,1.50809,0
722.549133,1.508036,0
724.120605,1.507983,0
725.691956,1.507931,0
727.263123,1.507878,0
728.83429,1.507826,0
730.405212,1.507774,0
731.976135,1.507723,0
733.546875,1.507671,0
735.117493,1.507621,0
736.687988,1.50757,0
738.258423,1.50752,0
739.828674,1.50747,0
741.398804,1.50742,0
742.968872,1.507371,0
744.538696,1.507322,0
746.108521,1.507273,0
747.678162,1.507225,0
749.247681,1.507177,0
750.817139,1.507129,0
752.386414,1.507081,0
753.955566,1.507034,0
755.524597,1.506987,0
757.093506,1.50694,0
758.662292,1.506894,0
760.230957,1.506848,0
761.7995,1.506802,0
763.36792,1.506756,0
764.936218,1.506711,0
766.504395,1.506666,0
768.072388,1.506621,0
769.64032,1.506577,0
771.20813,1.506533,0
772.775757,1.506489,0
774.343262,1.506445,0
775.910645,1.506401,0
777.477905,1.506358,0
779.045044,1.506315,0
780.612061,1.506272,0
782.178894,1.50623,0
783.745667,1.506188,0
785.312256,1.506146,0
786.878784,1.506104,0
788.445068,1.506063,0
790.011292,1.506021,0
791.577393,1.50598,0
793.143311,1.50594,0
794.709106,1.505899,0
796.27478,1.505859,0
797.840393,1.505819,0
799.405762,1.505779,0
800.971069,1.505739,0
802.536194,1.5057,0
804.101196,1.505661,0
805.666077,1.505622,0
807.230835,1.505583,0
808.79541,1.505545,0
810.359863,1.505506,0
811.924194,1.505468,0
813.488403,1.50543,0
815.052429,1.505393,0
816.616333,1.505355,0
818.180054,1.505318,0
819.743774,1.505281,0
821.307251,1.505244,0
822.870605,1.505208,0
824.433777,1.505171,0
825.996887,1.505135,0
827.559753,1.505099,0
829.122559,1.505063,0
830.685242,1.505028,0
832.247742,1.504992,0
833.810059,1.504957,0
835.372253,1.504922,0
836.934387,1.504887,0
838.496277,1.504853,0
840.058105,1.504818,0
841.619751,1.504784,0
843.181274,1.50475,0
844.742554,1.504716,0
846.303833,1.504682,0
847.864868,1.504649,0
849.425781,1.504616,0
850.986633,1.504583,0
852.54718,1.50455,0
854.107727,1.504517,0
855.667969,1.504484,0
857.22821,1.504452,0
858.788208,1.504419,0
860.348145,1.504387,0
861.907837,1.504355,0
863.467468,1.504324,0
865.026855,1.504292,0
866.586121,1.504261,0
868.145325,1.504229,0
869.704285,1.504198,0
871.263184,1.504167,0
872.821777,1.504137,0
874.380371,1.504106,0
875.938782,1.504076,0
877.496948,1.504045,0
879.055054,1.504015,0
880.612976,1.503985,0
882.170715,1.503955,0
883.728333,1.503926,0
885.285828,1.503896,0
886.84314,1.503867,0
888.400269,1.503838,0
889.957336,1.503809,0
891.51416,1.50378,0
893.070801,1.503751,0
894.627319,1.503723,0
896.183716,1.503694,0
897.739929,1.503666,0
899.296021,1.503638,0
900.851868,1.50361,0
902.407593,1.503582,0
903.963196,1.503554,0
905.518677,1.503526,0
907.073914,1.503499,0
908.629028,1.503472,0
910.18396,1.503445,0
911.73877,1.503418,0
913.293335,1.503391,0
914.847839,1.503364,0
916.402161,1.503337,0
917.956238,1.503311,0
919.510254,1.503284,0
921.064087,1.503258,0
922.617798,1.503232,0
924.171204,1.503206,0
925.724609,1.50318,0
927.27771,1.503155,0
928.83075,1.503129,0
930.383606,1.503104,0
931.936218,1.503078,0
933.48877,1.503053,0
935.041138,1.503028,0
936.593262,1.503003,0
938.145325,1.502978,0
939.697083,1.502954,0
941.24884,1.502929,0
942.800293,1.502905,0
944.351685,1.50288,0
945.902832,1.502856,0
947.453796,1.502832,0
949.004578,1.502808,0
950.555298,1.502784,0
952.105774,1.50276,0
953.656128,1.502737,0
955.206238,1.502713,0
956.756226,1.50269,0
958.30603,1.502667,0
959.855774,1.502643,0
961.405151,1.50262,0
962.954468,1.502597,0
964.503601,1.502575,0
966.052551,1.502552,0
967.601379,1.502529,0
969.150024,1.502507,0
970.698425,1.502484,0
972.246704,1.502462,0
973.794739,1.50244,0
975.342651,1.502418,0
976.890442,1.502396,0
978.437988,1.502374,0
979.985352,1.502352,0
981.532532,1.50233,0
983.07959,1.502309,0
984.626465,1.502287,0
986.173157,1.502266,0
987.719604,1.502245,0
989.26593,1.502223,0
990.812134,1.502202,0
992.358032,1.502181,0
993.903809,1.50216,0
995.449402,1.50214,0
996.994812,1.502119,0
998.540161,1.502098,0
