nm,RT
406.207,13.5088
443.523,13.2016
470.662,12.9928
495.322,12.8054
520.764,12.6026
541.118,12.4521
572.041,12.1941
587.176,12.0528
610.792,11.893
635.713,11.6872
662.982,11.5459
690.513,11.3125
