nm,RT
403.398,84.6131
412.695,85.3941
419.396,86.0016
428.264,86.5031
438.865,86.8792
455.741,87.3517
482.146,87.4676
510.933,87.5305
538.422,87.5644
554.223,87.5308
594.918,87.3913
664.399,87.3869
696.43,87.6234
