nm,SCAN
400,90.46
401,90.61
402,90.56
403,90.55
404,90.67
405,90.65
406,90.8
407,90.82
408,90.74
409,90.79
410,90.66
411,90.47
412,90.5
413,90.47
414,90.41
415,90.64
416,90.56
417,90.48
418,90.49
419,90.55
420,90.48
421,90.59
422,90.47
423,90.45
424,90.62
425,90.61
426,90.7
427,90.7
428,90.64
429,90.55
430,90.59
431,90.64
432,90.64
433,90.61
434,90.73
435,90.59
436,90.6
437,90.5
438,90.54
439,90.63
440,90.69
441,90.81
442,90.76
443,90.63
444,90.65
445,90.61
446,90.62
447,90.75
448,90.73
449,90.75
450,90.75
451,90.69
452,90.68
453,90.66
454,90.66
455,90.68
456,90.7
457,90.72
458,90.71
459,90.72
460,90.79
461,90.8
462,90.88
463,90.93
464,90.96
465,90.98
466,90.99
467,90.99
468,90.97
469,90.96
470,90.95
471,90.88
472,90.91
473,90.95
474,90.98
475,91.09
476,91.07
477,90.97
478,90.96
479,90.94
480,90.95
481,91
482,91.05
483,91.1
484,91.08
485,91.11
486,91.09
487,91.07
488,91.07
489,91.06
490,91.08
491,91.12
492,91.13
493,91.12
494,91.16
495,91.15
496,91.24
497,91.23
498,91.2
499,91.23
500,91.19
501,91.19
502,91.15
503,91.16
504,91.15
505,91.13
506,91.18
507,91.23
508,91.25
509,91.3
510,91.29
511,91.33
512,91.33
513,91.3
514,91.31
515,91.32
516,91.34
517,91.37
518,91.37
519,91.37
520,91.37
521,91.41
522,91.44
523,91.46
524,91.5
525,91.5
526,91.5
527,91.47
528,91.53
529,91.54
530,91.53
531,91.53
532,91.5
533,91.5
534,91.53
535,91.53
536,91.55
537,91.54
538,91.54
539,91.53
540,91.52
541,91.49
542,91.51
543,91.53
544,91.56
545,91.56
546,91.55
547,91.56
548,91.58
549,91.6
550,91.62
551,91.58
552,91.59
553,91.59
554,91.56
555,91.61
556,91.59
557,91.58
558,91.58
559,91.61
560,91.61
561,91.62
562,91.65
563,91.65
564,91.62
565,91.59
566,91.58
567,91.58
568,91.6
569,91.63
570,91.66
571,91.68
572,91.65
573,91.69
574,91.67
575,91.68
576,91.68
577,91.63
578,91.62
579,91.62
580,91.61
581,91.69
582,91.7
583,91.7
584,91.71
585,91.69
586,91.69
587,91.67
588,91.64
589,91.61
590,91.6
591,91.64
592,91.67
593,91.64
594,91.61
595,91.62
596,91.62
597,91.61
598,91.68
599,91.67
600,91.64
601,91.66
602,91.63
603,91.6
604,91.61
605,91.59
606,91.6
607,91.61
608,91.59
609,91.6
610,91.59
611,91.6
612,91.65
613,91.68
614,91.7
615,91.7
616,91.69
617,91.66
618,91.62
619,91.62
620,91.64
621,91.66
622,91.68
623,91.66
624,91.68
625,91.67
626,91.69
627,91.68
628,91.68
629,91.69
630,91.66
631,91.68
632,91.65
633,91.67
634,91.65
635,91.63
636,91.65
637,91.63
638,91.61
639,91.62
640,91.6
641,91.6
642,91.65
643,91.62
644,91.62
645,91.6
646,91.59
647,91.58
648,91.56
649,91.54
650,91.51
651,91.51
652,91.53
653,91.54
654,91.56
655,91.55
656,91.52
657,91.52
658,91.52
659,91.5
660,91.49
661,91.44
662,91.46
663,91.45
664,91.46
665,91.5
666,91.47
667,91.46
668,91.43
669,91.41
670,91.38
671,91.41
672,91.41
673,91.4
674,91.42
675,91.41
676,91.43
677,91.45
678,91.42
679,91.41
680,91.41
681,91.42
682,91.43
683,91.45
684,91.41
685,91.41
686,91.38
687,91.35
688,91.36
689,91.3
690,91.28
691,91.25
692,91.21
693,91.25
694,91.26
695,91.3
696,91.33
697,91.3
698,91.29
699,91.26
700,91.27
