nm,SCAN
400,87.13
401,87.3
402,87.44
403,87.53
404,87.66
405,87.62
406,87.6
407,87.63
408,87.48
409,87.42
410,87.35
411,87.25
412,87.25
413,87.24
414,87.2
415,87.18
416,87.18
417,87.2
418,87.33
419,87.29
420,87.4
421,87.41
422,87.36
423,87.42
424,87.26
425,87.41
426,87.45
427,87.5
428,87.44
429,87.41
430,87.37
431,87.33
432,87.34
433,87.28
434,87.23
435,87.21
436,87.16
437,87.24
438,87.3
439,87.33
440,87.3
441,87.28
442,87.23
443,87.17
444,87.2
445,87.18
446,87.08
447,87.12
448,87.2
449,87.16
450,87.18
451,87.17
452,87.17
453,87.16
454,87.16
455,87.19
456,87.16
457,87.18
458,87.24
459,87.32
460,87.27
461,87.23
462,87.18
463,87.17
464,87.1
465,87.16
466,87.13
467,87.12
468,87.12
469,87.07
470,87.09
471,87.03
472,87.01
473,87.09
474,87.14
475,87.13
476,87.15
477,87.11
478,87.05
479,87.07
480,87.08
481,87.09
482,87.09
483,87.09
484,87.09
485,87.09
486,87.14
487,87.09
488,87.14
489,87.15
490,87.08
491,87.1
492,87.07
493,87.06
494,87.11
495,87.16
496,87.15
497,87.14
498,87.14
499,87.14
500,87.17
501,87.17
502,87.11
503,87.15
504,87.11
505,87.13
506,87.12
507,87.12
508,87.12
509,87.11
510,87.14
511,87.19
512,87.2
513,87.25
514,87.29
515,87.28
516,87.31
517,87.29
518,87.25
519,87.25
520,87.3
521,87.28
522,87.36
523,87.42
524,87.43
525,87.42
526,87.42
527,87.39
528,87.36
529,87.36
530,87.35
531,87.37
532,87.38
533,87.34
534,87.36
535,87.37
536,87.35
537,87.36
538,87.4
539,87.43
540,87.47
541,87.5
542,87.47
543,87.46
544,87.42
545,87.45
546,87.47
547,87.43
548,87.45
549,87.47
550,87.45
551,87.5
552,87.5
553,87.52
554,87.47
555,87.47
556,87.5
557,87.49
558,87.5
559,87.5
560,87.52
561,87.54
562,87.51
563,87.55
564,87.54
565,87.55
566,87.58
567,87.6
568,87.59
569,87.61
570,87.6
571,87.59
572,87.59
573,87.6
574,87.6
575,87.59
576,87.62
577,87.58
578,87.59
579,87.56
580,87.56
581,87.55
582,87.54
583,87.57
584,87.58
585,87.63
586,87.64
587,87.63
588,87.63
589,87.59
590,87.6
591,87.63
592,87.63
593,87.66
594,87.67
595,87.67
596,87.7
597,87.7
598,87.68
599,87.65
600,87.6
601,87.59
602,87.56
603,87.6
604,87.6
605,87.64
606,87.65
607,87.67
608,87.7
609,87.69
610,87.7
611,87.72
612,87.69
613,87.71
614,87.74
615,87.75
616,87.73
617,87.73
618,87.74
619,87.75
620,87.83
621,87.85
622,87.86
623,87.84
624,87.84
625,87.84
626,87.86
627,87.88
628,87.86
629,87.86
630,87.85
631,87.87
632,87.85
633,87.84
634,87.82
635,87.77
636,87.76
637,87.78
638,87.74
639,87.79
640,87.8
641,87.76
642,87.8
643,87.77
644,87.79
645,87.84
646,87.84
647,87.84
648,87.85
649,87.82
650,87.81
651,87.79
652,87.76
653,87.78
654,87.79
655,87.79
656,87.82
657,87.83
658,87.85
659,87.85
660,87.82
661,87.79
662,87.78
663,87.76
664,87.75
665,87.7
666,87.68
667,87.71
668,87.7
669,87.75
670,87.76
671,87.73
672,87.76
673,87.76
674,87.71
675,87.71
676,87.69
677,87.69
678,87.71
679,87.72
680,87.71
681,87.74
682,87.72
683,87.73
684,87.75
685,87.75
686,87.76
687,87.78
688,87.78
689,87.77
690,87.74
691,87.74
692,87.74
693,87.71
694,87.71
695,87.7
696,87.67
697,87.67
698,87.66
699,87.64
700,87.66
