nm,SCAN
400,85.79
401,85.87
402,85.93
403,85.95
404,86.14
405,86.1
406,86.06
407,86.15
408,86.01
409,85.89
410,85.93
411,85.8
412,85.98
413,86.02
414,86.09
415,86.22
416,86.24
417,86.38
418,86.39
419,86.32
420,86.32
421,86.32
422,86.37
423,86.45
424,86.41
425,86.45
426,86.39
427,86.4
428,86.44
429,86.44
430,86.37
431,86.3
432,86.4
433,86.42
434,86.49
435,86.5
436,86.54
437,86.56
438,86.61
439,86.76
440,86.75
441,86.83
442,86.81
443,86.74
444,86.89
445,86.88
446,86.82
447,86.98
448,87.02
449,87.01
450,87.08
451,87.08
452,87.08
453,87.07
454,87.14
455,87.19
456,87.09
457,87.21
458,87.31
459,87.25
460,87.33
461,87.32
462,87.26
463,87.3
464,87.32
465,87.38
466,87.37
467,87.43
468,87.44
469,87.46
470,87.56
471,87.56
472,87.51
473,87.54
474,87.51
475,87.52
476,87.55
477,87.58
478,87.57
479,87.65
480,87.64
481,87.65
482,87.73
483,87.73
484,87.74
485,87.76
486,87.78
487,87.81
488,87.89
489,87.91
490,87.92
491,87.94
492,87.88
493,87.91
494,87.94
495,87.97
496,88.05
497,88.11
498,88.12
499,88.15
500,88.15
501,88.2
502,88.18
503,88.21
504,88.23
505,88.23
506,88.24
507,88.28
508,88.29
509,88.3
510,88.31
511,88.3
512,88.34
513,88.41
514,88.49
515,88.51
516,88.54
517,88.55
518,88.55
519,88.59
520,88.63
521,88.63
522,88.66
523,88.7
524,88.73
525,88.76
526,88.77
527,88.74
528,88.7
529,88.76
530,88.75
531,88.79
532,88.84
533,88.83
534,88.85
535,88.86
536,88.87
537,88.88
538,88.92
539,88.94
540,88.97
541,88.99
542,88.95
543,88.94
544,88.92
545,88.93
546,88.97
547,89
548,89.02
549,89.1
550,89.09
551,89.1
552,89.12
553,89.11
554,89.09
555,89.13
556,89.14
557,89.13
558,89.21
559,89.18
560,89.2
561,89.23
562,89.21
563,89.23
564,89.23
565,89.23
566,89.26
567,89.29
568,89.3
569,89.32
570,89.34
571,89.31
572,89.32
573,89.34
574,89.31
575,89.38
576,89.4
577,89.38
578,89.38
579,89.34
580,89.32
581,89.32
582,89.33
583,89.37
584,89.38
585,89.4
586,89.42
587,89.38
588,89.39
589,89.44
590,89.49
591,89.49
592,89.51
593,89.46
594,89.47
595,89.46
596,89.46
597,89.49
598,89.5
599,89.5
600,89.49
601,89.47
602,89.43
603,89.47
604,89.48
605,89.51
606,89.52
607,89.52
608,89.55
609,89.55
610,89.58
611,89.6
612,89.59
613,89.6
614,89.62
615,89.64
616,89.62
617,89.64
618,89.63
619,89.64
620,89.7
621,89.71
622,89.71
623,89.7
624,89.7
625,89.69
626,89.7
627,89.74
628,89.75
629,89.74
630,89.75
631,89.74
632,89.7
633,89.71
634,89.69
635,89.69
636,89.71
637,89.71
638,89.7
639,89.72
640,89.72
641,89.68
642,89.73
643,89.7
644,89.68
645,89.73
646,89.71
647,89.7
648,89.73
649,89.71
650,89.68
651,89.68
652,89.63
653,89.63
654,89.63
655,89.63
656,89.65
657,89.66
658,89.71
659,89.7
660,89.73
661,89.72
662,89.69
663,89.72
664,89.66
665,89.62
666,89.61
667,89.59
668,89.59
669,89.64
670,89.64
671,89.64
672,89.65
673,89.63
674,89.65
675,89.64
676,89.59
677,89.59
678,89.55
679,89.55
680,89.6
681,89.6
682,89.62
683,89.6
684,89.58
685,89.6
686,89.6
687,89.65
688,89.66
689,89.65
690,89.61
691,89.56
692,89.53
693,89.5
694,89.5
695,89.49
696,89.51
697,89.52
698,89.51
699,89.52
700,89.55
