nm,SCAN
400,9.61
401,9.6
402,9.5
403,9.46
404,9.35
405,9.32
406,9.34
407,9.32
408,9.38
409,9.28
410,9.19
411,9.12
412,9.02
413,8.98
414,9.07
415,9.09
416,9.04
417,9.02
418,8.94
419,8.89
420,8.81
421,8.71
422,8.7
423,8.64
424,8.62
425,8.63
426,8.61
427,8.59
428,8.57
429,8.57
430,8.56
431,8.55
432,8.48
433,8.45
434,8.42
435,8.37
436,8.36
437,8.31
438,8.3
439,8.28
440,8.23
441,8.2
442,8.2
443,8.21
444,8.17
445,8.19
446,8.15
447,8.12
448,8.15
449,8.11
450,8.06
451,8.03
452,7.93
453,7.89
454,7.88
455,7.87
456,7.87
457,7.91
458,7.9
459,7.88
460,7.84
461,7.82
462,7.79
463,7.78
464,7.73
465,7.67
466,7.66
467,7.63
468,7.62
469,7.61
470,7.61
471,7.58
472,7.56
473,7.55
474,7.53
475,7.51
476,7.47
477,7.46
478,7.45
479,7.42
480,7.43
481,7.41
482,7.39
483,7.37
484,7.36
485,7.34
486,7.32
487,7.29
488,7.27
489,7.25
490,7.24
491,7.23
492,7.22
493,7.2
494,7.19
495,7.18
496,7.16
497,7.15
498,7.13
499,7.12
500,7.11
501,7.08
502,7.08
503,7.07
504,7.05
505,7.05
506,7.03
507,7.01
508,7
509,6.98
510,6.97
511,6.96
512,6.94
513,6.93
514,6.94
515,6.93
516,6.92
517,6.92
518,6.91
519,6.9
520,6.89
521,6.88
522,6.87
523,6.85
524,6.83
525,6.82
526,6.8
527,6.79
528,6.78
529,6.77
530,6.76
531,6.75
532,6.74
533,6.74
534,6.72
535,6.72
536,6.71
537,6.7
538,6.7
539,6.69
540,6.69
541,6.67
542,6.66
543,6.65
544,6.64
545,6.63
546,6.62
547,6.61
548,6.6
549,6.59
550,6.59
551,6.59
552,6.58
553,6.56
554,6.55
555,6.53
556,6.52
557,6.51
558,6.52
559,6.52
560,6.51
561,6.51
562,6.49
563,6.47
564,6.46
565,6.45
566,6.44
567,6.42
568,6.42
569,6.41
570,6.42
571,6.42
572,6.41
573,6.39
574,6.37
575,6.36
576,6.36
577,6.35
578,6.35
579,6.34
580,6.34
581,6.33
582,6.32
583,6.3
584,6.29
585,6.28
586,6.27
587,6.26
588,6.26
589,6.25
590,6.25
591,6.25
592,6.24
593,6.23
594,6.24
595,6.23
596,6.22
597,6.2
598,6.19
599,6.18
600,6.18
601,6.17
602,6.16
603,6.15
604,6.15
605,6.15
606,6.14
607,6.13
608,6.13
609,6.12
610,6.12
611,6.11
612,6.11
613,6.11
614,6.1
615,6.09
616,6.09
617,6.08
618,6.07
619,6.07
620,6.07
621,6.07
622,6.08
623,6.07
624,6.05
625,6.05
626,6.04
627,6.02
628,6.02
629,6.01
630,6
631,6
632,5.99
633,5.98
634,5.99
635,5.97
636,5.98
637,5.98
638,5.97
639,5.97
640,5.96
641,5.94
642,5.93
643,5.93
644,5.92
645,5.91
646,5.91
647,5.9
648,5.9
649,5.88
650,5.87
651,5.86
652,5.86
653,5.85
654,5.85
655,5.85
656,5.85
657,5.85
658,5.84
659,5.82
660,5.8
661,5.8
662,5.81
663,5.82
664,5.81
665,5.8
666,5.78
667,5.78
668,5.77
669,5.77
670,5.76
671,5.76
672,5.75
673,5.74
674,5.74
675,5.74
676,5.74
677,5.72
678,5.71
679,5.71
680,5.7
681,5.71
682,5.7
683,5.69
684,5.69
685,5.69
686,5.68
687,5.68
688,5.68
689,5.66
690,5.66
691,5.66
692,5.66
693,5.66
694,5.66
695,5.64
696,5.64
697,5.63
698,5.63
699,5.63
700,5.62
