w,n,k
417.08,2.36166,0.00174
434.35,2.33,0.0016
453.4,2.29704,0.00144
476.4,2.27164,0.00131
502,2.24408,0.0013
532.85,2.2232,0.00134
567.83,2.19992,0.00132
610.19,2.18217,0.00128
659.48,2.16189,0.00127
721.25,2.14945,0.00128
794.42,2.13077,0.00126
886.99,2.11472,0.00128
1006.36,2.09939,0.00141
1169.87,2.09186,0.00164
1396.24,2.08053,0.00189
1732.51,2.06528,0.00219
