nm,n_Top,k_Top,n_Bottom,k_Bottom,n_Mid,k_Mid
519.863342,2.022,0.000509,2.0894,0.000536,2.0557,0.0005225
522.046021,2.020625,0.000515,2.08795,0.000544,2.0542875,0.0005295
524.247009,2.019254,0.000522,2.086505,0.000551,2.0528795,0.0005365
526.466736,2.017888,0.000529,2.085063,0.000558,2.0514755,0.0005435
528.705322,2.016524,0.000536,2.083626,0.000566,2.050075,0.000551
530.963013,2.015164,0.000544,2.082191,0.000573,2.0486775,0.0005585
533.240051,2.013807,0.000551,2.080759,0.000581,2.047283,0.000566
535.536621,2.012452,0.000559,2.07933,0.000589,2.045891,0.000574
537.853149,2.011099,0.000566,2.077903,0.000597,2.044501,0.0005815
540.189819,2.009747,0.000574,2.076478,0.000606,2.0431125,0.00059
542.546875,2.008397,0.000582,2.075054,0.000614,2.0417255,0.000598
544.924622,2.007048,0.00059,2.073631,0.000622,2.0403395,0.000606
547.323242,2.0057,0.000598,2.072209,0.000631,2.0389545,0.0006145
549.743103,2.004352,0.000607,2.070787,0.00064,2.0375695,0.0006235
552.184448,2.003004,0.000615,2.069365,0.000649,2.0361845,0.000632
554.647583,2.001656,0.000624,2.067943,0.000658,2.0347995,0.000641
557.132751,2.000307,0.000633,2.06652,0.000668,2.0334135,0.0006505
559.64032,1.998957,0.000642,2.065097,0.000677,2.032027,0.0006595
562.170593,1.997606,0.000651,2.063672,0.000687,2.030639,0.000669
564.723816,1.996253,0.00066,2.062245,0.000697,2.029249,0.0006785
567.300354,1.994899,0.00067,2.060816,0.000707,2.0278575,0.0006885
569.900513,1.993542,0.00068,2.059385,0.000717,2.0264635,0.0006985
572.524536,1.992183,0.00069,2.057951,0.000727,2.025067,0.0007085
575.172974,1.990821,0.0007,2.056514,0.000738,2.0236675,0.000719
577.845947,1.989455,0.00071,2.055073,0.000749,2.022264,0.0007295
580.543823,1.988086,0.00072,2.05363,0.00076,2.020858,0.00074
583.267151,1.986714,0.000731,2.052181,0.000771,2.0194475,0.000751
586.016052,1.985337,0.000742,2.050729,0.000783,2.018033,0.0007625
588.790894,1.983956,0.000753,2.049272,0.000795,2.016614,0.000774
591.592285,1.98257,0.000764,2.04781,0.000806,2.01519,0.000785
594.420471,1.981178,0.000776,2.046342,0.000819,2.01376,0.0007975
597.275757,1.979782,0.000788,2.044868,0.000831,2.012325,0.0008095
600.15863,1.978379,0.0008,2.043388,0.000844,2.0108835,0.000822
603.069458,1.97697,0.000812,2.041902,0.000857,2.009436,0.0008345
606.008667,1.975555,0.000825,2.040409,0.00087,2.007982,0.0008475
608.976685,1.974133,0.000837,2.038908,0.000884,2.0065205,0.0008605
611.973938,1.972704,0.00085,2.0374,0.000897,2.005052,0.0008735
615.000793,1.971267,0.000864,2.035884,0.000911,2.0035755,0.0008875
618.057739,1.969822,0.000877,2.03436,0.000926,2.002091,0.0009015
621.145264,1.968369,0.000891,2.032826,0.00094,2.0005975,0.0009155
624.263794,1.966907,0.000905,2.031284,0.000955,1.9990955,0.00093
627.413757,1.965436,0.00092,2.029732,0.000971,1.997584,0.0009455
630.595703,1.963956,0.000935,2.02817,0.000986,1.996063,0.0009605
633.810059,1.962465,0.00095,2.026597,0.001002,1.994531,0.000976
637.057312,1.960965,0.000965,2.025014,0.001018,1.9929895,0.0009915
640.338074,1.959454,0.000981,2.023419,0.001035,1.9914365,0.001008
643.652771,1.957931,0.000997,2.021812,0.001052,1.9898715,0.0010245
647.002014,1.956398,0.001013,2.020194,0.001069,1.988296,0.001041
650.386292,1.954852,0.00103,2.018563,0.001087,1.9867075,0.0010585
653.806091,1.953294,0.001047,2.016918,0.001105,1.985106,0.001076
657.262085,1.951723,0.001065,2.01526,0.001124,1.9834915,0.0010945
660.754822,1.950138,0.001083,2.013588,0.001143,1.981863,0.001113
664.284851,1.94854,0.001101,2.011902,0.001162,1.980221,0.0011315
667.852844,1.946928,0.00112,2.0102,0.001182,1.978564,0.001151
671.45929,1.945301,0.001139,2.008483,0.001202,1.976892,0.0011705
675.104919,1.943659,0.001159,2.006749,0.001223,1.975204,0.001191
678.790405,1.942001,0.001179,2.004999,0.001244,1.9735,0.0012115
682.516357,1.940326,0.001199,2.003232,0.001266,1.971779,0.0012325
686.283386,1.938635,0.00122,2.001447,0.001288,1.970041,0.001254
690.092285,1.936926,0.001242,1.999643,0.001311,1.9682845,0.0012765
693.943665,1.9352,0.001264,1.997821,0.001334,1.9665105,0.001299
697.838257,1.933455,0.001287,1.995979,0.001358,1.964717,0.0013225
701.776855,1.931691,0.00131,1.994117,0.001382,1.962904,0.001346
705.760132,1.929907,0.001333,1.992234,0.001407,1.9610705,0.00137
709.78894,1.928103,0.001357,1.990329,0.001433,1.959216,0.001395
713.863892,1.926278,0.001382,1.988402,0.001459,1.95734,0.0014205
717.985962,1.924431,0.001408,1.986453,0.001486,1.955442,0.001447
722.155884,1.922561,0.001434,1.984479,0.001514,1.95352,0.001474
726.374634,1.920669,0.001461,1.982482,0.001542,1.9515755,0.0015015
730.642883,1.918753,0.001488,1.980459,0.001571,1.949606,0.0015295
734.961548,1.916813,0.001516,1.97841,0.001601,1.9476115,0.0015585
