,glass,SiO2,SiO2H
627,4.44,4.07,4.49
628,4.43,4.08,4.49
629,4.43,4.08,4.49
630,4.41,4.08,4.49
631,4.41,4.08,4.49
632,4.4,4.07,4.48
633,4.41,4.06,4.49
634,4.4,4.05,4.49
635,4.39,4.05,4.5
636,4.4,4.05,4.5
637,4.39,4.06,4.49
638,4.4,4.06,4.49
639,4.4,4.06,4.48
640,4.4,4.06,4.48
641,4.4,4.04,4.49
642,4.4,4.05,4.48
643,4.39,4.05,4.48
644,4.39,4.05,4.46
645,4.39,4.05,4.46
646,4.39,4.04,4.45
647,4.38,4.03,4.45
648,4.37,4.02,4.45
649,4.38,4.02,4.44
650,4.37,4.04,4.45
651,4.37,4.03,4.46
652,4.37,4.02,4.45
653,4.36,4.02,4.45
654,4.37,4.01,4.46
655,4.37,4.01,4.44
656,4.37,4.02,4.45
657,4.36,4.02,4.45
658,4.35,4.02,4.44
659,4.33,4.03,4.45
660,4.33,4.02,4.44
661,4.34,4.01,4.44
662,4.34,4.01,4.44
663,4.35,4,4.43
664,4.35,4,4.44
665,4.35,4,4.42
666,4.36,4,4.41
667,4.35,3.99,4.41
668,4.36,4,4.41
669,4.35,3.99,4.41
670,4.34,4,4.42
671,4.35,4,4.41
672,4.34,4,4.42
673,4.35,4.01,4.41
674,4.35,4,4.41
675,4.34,4.02,4.41
676,4.34,4.01,4.42
677,4.33,4,4.42
678,4.32,4,4.42
679,4.32,3.99,4.42
680,4.31,3.98,4.41
681,4.3,3.98,4.4
682,4.31,3.98,4.4
683,4.3,3.99,4.41
684,4.31,3.99,4.4
685,4.31,3.99,4.4
686,4.31,3.98,4.4
687,4.32,3.97,4.39
688,4.32,3.97,4.4
689,4.33,3.98,4.4
690,4.32,3.97,4.4
691,4.31,3.98,4.4
692,4.3,3.97,4.4
693,4.31,3.96,4.39
694,4.31,3.97,4.4
695,4.31,3.97,4.39
696,4.31,3.97,4.39
697,4.3,3.98,4.4
698,4.3,3.96,4.39
699,4.31,3.97,4.39
700,4.3,3.97,4.38
