wl,k
0.3,2.86E-06
0.31,1.37E-06
0.32,6.66E-07
0.334,2.64E-07
0.35,9.29E-08
0.365,3.42E-08
0.37,2.74E-08
0.38,2.07E-08
0.39,1.37E-08
0.4,1.02E-08
0.405,9.06E-09
0.42,9.39E-09
0.436,1.11E-08
0.46,1.03E-08
0.5,9.58E-09
0.546,6.97E-09
0.58,9.25E-09
0.62,1.19E-08
0.66,1.26E-08
0.7,8.93E-09
1.06,1.01E-08
1.53,9.84E-08
1.97,1.09E-06
2.325,4.29E-06
2.5,8.13E-06
