,wl,R
0,400.0,0.010886043985441636
1,401.0,0.00911828903121166
2,402.0,0.007395601858495521
3,403.0,0.005794182975063149
4,404.0,0.004381633036390638
5,405.0,0.0032138935711839636
6,406.0,0.0023328883282508566
7,407.0,0.0017649891566968946
8,408.0,0.0015203762475973868
9,409.0,0.0015932994847562615
10,410.0,0.0019631882028370087
11,411.0,0.0025965292592428383
12,412.0,0.003449264809396986
13,413.0,0.004469568085276953
14,414.0,0.005600814601676622
15,415.0,0.006784536885195886
16,416.0,0.007963202306999845
17,417.0,0.009082688894369539
18,418.0,0.010094372364596614
19,419.0,0.010956746860435298
20,420.0,0.011636452626935287
21,421.0,0.012109114125717945
22,422.0,0.012359768635987114
23,423.0,0.012382854813416793
24,424.0,0.01218186343066791
25,425.0,0.01176869359241902
26,426.0,0.011162758763327346
27,427.0,0.010389887250435253
28,428.0,0.009481062026109661
29,429.0,0.008471045425483131
30,430.0,0.007396935369338744
31,431.0,0.006296701072233436
32,432.0,0.005207747169149556
33,433.0,0.004165561093062698
34,434.0,0.0032025282126758457
35,435.0,0.002346798580957013
36,436.0,0.0016213851936968343
37,437.0,0.0010435638794410254
38,438.0,0.0006245293520597518
39,439.0,0.0003693082573881561
40,440.0,0.0002769186717537635
41,441.0,0.00034075409892187354
42,442.0,0.0005491604144998233
43,443.0,0.0008861670460521049
44,444.0,0.0013323292798479922
45,445.0,0.0018656371709510184
46,446.0,0.0024624478371865635
47,447.0,0.0030983977870637416
48,448.0,0.0037492402909284845
49,449.0,0.004391633218466699
50,450.0,0.005003837298284001
51,451.0,0.005566297533231153
52,452.0,0.0060621072132010356
53,453.0,0.0064773513812597635
54,454.0,0.006801331133151801
55,455.0,0.007026673781084456
56,456.0,0.007149336698764939
57,457.0,0.007168514674743187
58,458.0,0.007086461959964485
59,459.0,0.006908241039599755
60,460.0,0.006641410616825231
61,461.0,0.00629566547448081
62,462.0,0.0058824408578989785
63,463.0,0.005414493848021829
64,464.0,0.0049054738909439476
65,465.0,0.004369494210220164
66,466.0,0.003820715241388736
67,467.0,0.0032729507822548028
68,468.0,0.002739305818458754
69,469.0,0.0022318530452576863
70,470.0,0.0017613574988275032
71,471.0,0.0013370537353170255
72,472.0,0.0009664789222009796
73,473.0,0.0006553635975067518
74,474.0,0.0004075800147122594
75,475.0,0.00022514620010129552
76,476.0,0.00010828218623249282
77,477.0,5.551341990328008e-05
78,478.0,6.381513449120307e-05
79,479.0,0.0001287905660520055
80,480.0,0.0002448749053719248
81,481.0,0.00040555830280816774
82,482.0,0.000603621658315063
83,483.0,0.0008313735998614978
84,484.0,0.0010808822505172858
85,485.0,0.0013441957628502082
86,486.0,0.0016135463562716116
87,487.0,0.001881533637886382
88,488.0,0.002141284028272004
89,489.0,0.0023865841330546855
90,490.0,0.0026119868604560816
91,491.0,0.002812889958118006
92,492.0,0.0029855874122963564
93,493.0,0.0031272948089531337
94,494.0,0.003236150302738634
95,495.0,0.0033111932710484793
96,496.0,0.003352323058549999
97,497.0,0.0033602404503842967
98,498.0,0.003336374045482318
99,499.0,0.0032827908444258967
100,500.0,0.00320210702420992
101,501.0,0.0030973929628380545
102,502.0,0.0029720713485641855
103,503.0,0.0028298141589451447
104,504.0,0.002674440915004163
105,505.0,0.002509820396722879
106,506.0,0.0023397777917002335
107,507.0,0.0021680090090968615
108,508.0,0.0019980036301898933
109,509.0,0.0018329776897390636
110,510.0,0.0016758171942102477
111,511.0,0.0015290329895631164
112,512.0,0.0013947272989187527
113,513.0,0.0012745719650945194
114,514.0,0.0011697981623178563
115,515.0,0.001081197089759012
116,516.0,0.0010091309334470076
117,517.0,0.000953553178928414
118,518.0,0.0009140368424811777
119,519.0,0.0008898100868644652
120,520.0,0.0008797984746808221
121,521.0,0.0008826712255603657
122,522.0,0.0008968904582851911
123,523.0,0.0009207621131846348
124,524.0,0.0009524872666552062
125,525.0,0.000990212633066283
126,526.0,0.0010320791482087662
127,527.0,0.0010762676749285086
128,528.0,0.0011210409899246854
129,529.0,0.0011647813378151883
130,530.0,0.0012060230094479243
131,531.0,0.0012434795417515783
132,532.0,0.0012760652794540175
133,533.0,0.0013029111761461948
134,534.0,0.0013233748402137523
135,535.0,0.0013370449490629646
136,536.0,0.0013437402611207374
137,537.0,0.001343503649363188
138,538.0,0.0013365915989885812
139,539.0,0.0013234588108694317
140,540.0,0.001304739325898594
141,541.0,0.0012812246572212753
142,542.0,0.0012538394354277334
143,543.0,0.0012236151819458917
144,544.0,0.0011916628259558938
145,545.0,0.001159144571396567
146,546.0,0.0011272457008005513
147,547.0,0.0010971468735332833
148,548.0,0.0010699974386348082
149,549.0,0.0010468902378263669
150,550.0,0.0010288383234373537
151,551.0,0.0010167539601685185
152,552.0,0.0010114302199151321
153,553.0,0.0010135254166178994
154,554.0,0.0010235505643509104
155,555.0,0.0010418599779315133
156,556.0,0.0010686450724326174
157,557.0,0.0011039313571818015
158,558.0,0.0011475785623507554
159,559.0,0.001199284310780398
160,560.0,0.0012585910826877033
161,561.0,0.001324892879215383
162,562.0,0.0013974453920977854
163,563.0,0.0014753787295318742
164,564.0,0.0015577120512428424
165,565.0,0.0016433698192979155
166,566.0,0.0017311993569000764
167,567.0,0.001819989398719032
168,568.0,0.0019084893130161258
169,569.0,0.001995428672508976
170,570.0,0.0020795368770107786
171,571.0,0.0021595625309939626
172,572.0,0.0022342922846260165
173,573.0,0.0023025688787739165
174,574.0,0.002363308244047265
175,575.0,0.0024155172044550317
176,576.0,0.002458308722704145
177,577.0,0.002490913295842327
