,wl,R
0,400.0,0.0011822232640503062
1,401.0,0.002092556051462157
2,402.0,0.0036697826466853467
3,403.0,0.005569090566644594
4,404.0,0.007452777175219385
5,405.0,0.0090274313117529
6,406.0,0.010071990819651114
7,407.0,0.01045398464749445
8,408.0,0.010135537312373682
9,409.0,0.009170225322500994
10,410.0,0.007692236459472643
11,411.0,0.0058992889329645935
12,412.0,0.00403070417278891
13,413.0,0.002342636077498841
14,414.0,0.0010819649972545608
15,415.0,0.00046110783347708747
16,416.0,0.0006364497141553261
17,417.0,0.0016928367403874897
18,418.0,0.0036359225819103894
19,419.0,0.006392940587093924
20,420.0,0.009821323118332522
21,421.0,0.013723854151148945
22,422.0,0.017867866874625354
23,423.0,0.022005931976335047
24,424.0,0.025895670546974413
25,425.0,0.029316912580518974
26,426.0,0.032085165145729184
27,427.0,0.03406182053548715
28,428.0,0.03516033653654918
29,429.0,0.03534673864631733
30,430.0,0.03463787156695784
31,431.0,0.03309729214067535
32,432.0,0.030829151281419314
33,433.0,0.027970431961438537
34,434.0,0.02468181406031486
35,435.0,0.021137126694249497
36,436.0,0.017513298308258107
37,437.0,0.0139802939402749
38,438.0,0.01069109852067737
39,439.0,0.007772970999439114
40,440.0,0.0053206919107527725
41,441.0,0.003392383651958281
42,442.0,0.0020082434965239095
43,443.0,0.0011522223144328333
44,444.0,0.0007763632050992369
45,445.0,0.0008072428773646511
46,446.0,0.0011537807996480937
47,447.0,0.0017156304771645578
48,448.0,0.0023913837890110123
49,449.0,0.003085945374590557
50,450.0,0.0037166479616127035
51,451.0,0.004217827059085417
52,452.0,0.0045437562188092966
53,453.0,0.0046699751605330814
54,454.0,0.004593133693438477
55,455.0,0.004329531259602242
56,456.0,0.0039125655853429
57,457.0,0.003389319606428374
58,458.0,0.0028165249090336365
59,459.0,0.002256168201494037
60,460.0,0.001770998776706075
61,461.0,0.001420197224552063
62,462.0,0.0012554566537710794
63,463.0,0.0013177025054415138
64,464.0,0.0016346344463068025
65,465.0,0.0022192147048791288
66,466.0,0.0030691567259217662
67,467.0,0.004167390485807732
68,468.0,0.005483377299989782
69,469.0,0.006975153978143278
70,470.0,0.008591923991940312
71,471.0,0.01027697486138129
72,472.0,0.01197071000862535
73,473.0,0.013613603010957945
74,474.0,0.015148914977753083
75,475.0,0.01652505573679869
76,476.0,0.017697510882878676
77,477.0,0.018630295357357864
78,478.0,0.019296954134205725
79,479.0,0.019681094462802123
80,480.0,0.019776418066293638
81,481.0,0.019586393680312668
82,482.0,0.019123598038926617
83,483.0,0.018408775931991184
84,484.0,0.017469674031203752
85,485.0,0.016339703143517535
86,486.0,0.015056483486327075
87,487.0,0.013660327344771265
88,488.0,0.012192713348779022
89,489.0,0.010694805838019742
90,490.0,0.009206070795449023
91,491.0,0.007763036054406214
92,492.0,0.00639823752524568
93,493.0,0.0051393849322544155
94,494.0,0.004008769799808025
95,495.0,0.003022924448441968
96,496.0,0.0021925414484354577
97,497.0,0.0015226301391142501
98,498.0,0.0010128828226110857
99,499.0,0.0006582207271247831
100,500.0,0.0004494792464750423
101,501.0,0.0003741882756076841
102,502.0,0.0004174028303908821
103,503.0,0.000562541250832917
104,504.0,0.0007921926690241175
105,505.0,0.0010888614703417564
106,506.0,0.0014356235355932724
107,507.0,0.0018166764981817768
108,508.0,0.002217773545950644
109,509.0,0.0026265370227357143
110,510.0,0.003032653765162749
111,511.0,0.003427959304937386
112,512.0,0.003806422287407513
113,513.0,0.0041640418516223745
114,514.0,0.00449867341378112
115,515.0,0.004809799024577727
116,516.0,0.005098258585440284
117,517.0,0.005365957736069714
118,518.0,0.005615567236213341
119,519.0,0.005850227260266568
120,520.0,0.006073268295510966
121,521.0,0.006287958242264168
122,522.0,0.006497283513737962
123,523.0,0.006703769815340335
124,524.0,0.006909345441652587
125,525.0,0.007115248448743722
126,526.0,0.007321976994308695
127,527.0,0.007529280467755929
128,528.0,0.007736187550306472
129,529.0,0.007941066195828099
130,530.0,0.00814170977289237
131,531.0,0.00833544312115524
132,532.0,0.008519242119512558
133,533.0,0.008689860498419381
134,534.0,0.008843958043803201
135,535.0,0.00897822816283153
136,536.0,0.00908951739765004
137,537.0,0.009174924142274273
138,538.0,0.009231886275212249
139,539.0,0.009258252459440714
140,540.0,0.009252335502382997
141,541.0,0.00921294759915466
142,542.0,0.009139417999485566
143,543.0,0.009031594247890781
144,544.0,0.008889828637497547
145,545.0,0.008714951890380006
146,546.0,0.008508236328985527
147,547.0,0.008271350941211664
148,548.0,0.008006310774400994
149,549.0,0.0077154230317075774
150,550.0,0.007401232100470277
151,551.0,0.007066465133681347
152,552.0,0.006713971939424836
153,553.0,0.006346678273272779
154,554.0,0.005967553461178473
155,555.0,0.005579575393598102
156,556.0,0.005185701601421699
157,557.0,0.004788846949627843
158,558.0,0.004391867752689716
159,559.0,0.003997551834501289
160,560.0,0.003608613814218702
161,561.0,0.003227694704282756
162,562.0,0.002857364763206671
163,563.0,0.002500128456789825
164,564.0,0.002158430341617633
165,565.0,0.001834660703735674
166,566.0,0.0015311598511711282
167,567.0,0.001250220069485586
168,568.0,0.000994084398604243
169,569.0,0.0007649415665674126
170,570.0,0.0005649166391221979
171,571.0,0.00039605718668849773
172,572.0,0.0002603168100931787
173,573.0,0.0001595313658687223
174,574.0,9.5388170166784e-05
175,575.0,6.939646011081701e-05
176,576.0,8.2856074876925e-05
177,577.0,0.000136824970220976
178,578.0,0.00023208659893319107
179,579.0,0.00036911823984918645
180,580.0,0.0005480613688154244
181,581.0,0.0007686951369958744
