nm,N
300,1.55277
310,1.54942
320,1.54643
334.1,1.54273
350,1.53917
365,1.53627
370,1.53539
380,1.53374
390,1.53224
400,1.53085
404.7,1.53023
420,1.52839
435.8,1.52669
460,1.52443
500,1.52141
546.1,1.51872
580,1.51712
620,1.51554
660,1.51421
700,1.51306
1060,1.50669
1529.6,1.50091
1970.1,1.49495
2325.4,1.48921
