,xy-ITO ,trace spacing,bridge
0,7.7283335621529154,9.087379438473596,3.80114704070533
1,5.8147228385011624,6.669220752553626,3.1254235736174447
2,3.9740039506931732,4.3340032170059235,2.443876327804775
3,2.4809205954122695,2.4339985611681207,1.8816067543952164
4,1.4685175946498767,1.1438916390573188,1.5143147378610438
5,0.9861129345800169,0.5254843271978518,1.3875451209569314
6,1.1156983971963665,0.6729352208397819,1.5712513092045692
7,1.91788901101767,1.6455395103115291,2.139238189603731
8,3.247811132119675,3.2455540305610957,3.053434142323477
9,4.825729835742075,5.116893989500054,4.179083160117687
10,6.5225938831493275,7.09669433377267,5.467488644995533
11,8.206769673648374,9.028315713682861,6.856595879190924
12,9.711457722935771,10.72246256229131,8.237151813176645
13,10.883815305339947,12.013200034951547,9.478038297015248
14,11.658332993371275,12.838093276570723,10.50342538200993
15,12.016218279928736,13.187251003476439,11.28305772633847
16,11.938320273641907,13.048199293133884,11.779579431335966
17,11.423988088046256,12.427041994270411,11.963624004865132
18,10.499016724422045,11.35723550510046,11.821530109836715
19,9.224398391757669,9.90941054720789,11.36018040422443
20,7.703582472268922,8.199756624957063,10.614093313775511
21,6.083077461994516,6.391030485246056,9.651511286157074
22,4.519347839035261,4.656083952616474,8.56070301992475
23,3.143824885087872,3.138973420414252,7.426202205009407
24,2.0344236847113755,1.9233007541826614,6.291835555954167
25,1.2825756409256714,1.1057885083584555,5.207946051237069
26,0.9941672593786435,0.7969586615546624,4.264615065112178
27,1.2193840191771474,1.0446411301787193,3.56018613084605
28,1.9128743128639498,1.7923607802336483,3.1543729795417113
29,2.976637926442068,2.928181172020566,3.0502173742173535
30,4.2914543341187175,4.320225126037857,3.2238134877204763
31,5.7266919136179535,5.827763334727011,3.628191237282621
32,7.157264669837003,7.319078958942775,4.197980828395465
33,8.499918572425107,8.709000623617687,4.871430891748672
34,9.706939101984435,9.95121925953216,5.606784531581979
35,10.65929467838553,10.925154252222306,6.317318480915178
36,11.262824416972146,11.536290660966609,6.903121293928402
37,11.50706794471326,11.777032202565833,7.3109373154503245
38,11.416302567683951,11.67522098457048,7.522917620775446
39,11.009847103192484,11.253096137112651,7.533077350114288
40,10.294710348999981,10.519462260526808,7.331660062636088
41,9.280154029454355,9.484514805331015,6.9090178824215585
42,8.005577678714843,8.188034759672078,6.27094507132825
43,6.6149500925025775,6.774897725844116,5.4876442476423914
44,5.281138235572426,5.4193837144170685,4.667770017169063
45,4.043125318800675,4.1598083312670395,3.8485265035941296
46,2.94021098068575,3.033954844738631,3.0617657695298774
47,2.0442418609891524,2.1122487041967357,2.361008716784784
48,1.433728590088152,1.4719509343488397,1.8098030336844044
49,1.182348070782827,1.186718390727929,1.4796994732895257
50,1.3111794373297176,1.2795883465167757,1.4178393099706763
51,1.7747317769466093,1.7065278436128124,1.6194757936717212
52,2.5167229515762175,2.4121002376393115,2.064032908427073
53,3.497891773505292,3.357875480892795,2.7406566785736586
54,4.646099282812763,4.474210117324386,3.613561547464613
55,5.842142173581231,5.644668828699803,4.597498386226858
56,7.001986032018668,6.78639702863154,5.622210214945433
57,8.06818125038875,7.842627044730599,6.634443591379736
