PRINT DATE :2020/4/30 上午 11:33:22,
,
SAMPLE :,
RANGE :400nm ～ 700nm,
T50% WL=,
RANGE :400nm ～ 700nm,
"MAX :57040.04 , 625.3nm    MIN :4934.33 , 400.1nm    AVERAGE :39865.6",
,
,
nm,SCAN
400,5075.72
401,5208.18
402,5308.85
403,5448.62
404,5591.95
405,5724.62
406,5873.47
407,5979.09
408,6151.39
409,6282.09
410,6430.62
411,6570.52
412,6694.34
413,6784.81
414,6915.71
415,7010.43
416,7099.23
417,7206.34
418,7314.71
419,7412.61
420,7549.67
421,7714.56
422,7851.48
423,7970.09
424,8149.77
425,8252.15
426,8427.32
427,8600.62
428,8789.32
429,8954.53
430,9156.61
431,9281.75
432,9480.24
433,9662.66
434,9851.76
435,10083.56
436,10298.86
437,10502.66
438,10658.94
439,10825.76
440,10928.94
441,11030.43
442,11177.89
443,11248.67
444,11373.94
445,11500.05
446,11592.95
447,11682.61
448,11803.24
449,11969.7
450,12084.14
451,12250.28
452,12465.71
453,12613.42
454,12769.8
455,12990.29
456,13211.28
457,13496.86
458,13794.13
459,14137.48
460,14468.89
461,14815.86
462,15267.51
463,15596.61
464,16068.34
465,16582.66
466,17094.24
467,17660.71
468,18323.48
469,18983.52
470,19715.43
471,20392.76
472,21153.1
473,21772.67
474,22545.52
475,23349.62
476,24196.61
477,25047.48
478,25885.23
479,26733.53
480,27512.33
481,28317.67
482,29073.38
483,29844.01
484,30582.38
485,31277.96
486,31824.34
487,32475.71
488,33114.72
489,33702.04
490,34268.2
491,34812.95
492,35331.82
493,35789.38
494,36224.05
495,36594.14
496,36910.77
497,37234.14
498,37523.25
499,37825.29
500,38130.39
501,38408.43
502,38676.63
503,38936.67
504,39245.91
505,39530.25
506,39900.62
507,40293.68
508,40713.38
509,41167.63
510,41666.76
511,42162.49
512,42667.19
513,43259.11
514,43835.24
515,44434.25
516,45025.14
517,45608.92
518,46137.62
519,46679.82
520,47219.29
521,47700.68
522,48177.09
523,48618.16
524,49047.67
525,49427.44
526,49758.33
527,50031.39
528,50273.62
529,50524.2
530,50732.19
531,50951.73
532,51159.57
533,51346.54
534,51546.81
535,51686.25
536,51839.24
537,51961.11
538,52068.52
539,52217.34
540,52342.24
541,52456.86
542,52593
543,52650.58
544,52731.71
545,52847.96
546,52879.62
547,52992.05
548,53081.95
549,53124.76
550,53199.1
551,53203.91
552,53230.34
553,53275.33
554,53304.39
555,53307.95
556,53330.01
557,53340.38
558,53401.58
559,53461.19
560,53549.77
561,53626.71
562,53692.53
563,53743.38
564,53798.63
565,53885.81
566,53960.34
567,54057.53
568,54123.09
569,54209.86
570,54251.43
571,54309.72
572,54342.62
573,54384.43
574,54430.09
575,54504.15
576,54583.09
577,54640.48
578,54694.57
579,54724.48
580,54738.34
581,54768.86
582,54813.34
583,54820.14
584,54831.48
585,54807.38
586,54776.77
587,54722.95
588,54696.2
589,54624.63
590,54535.38
591,54488.82
592,54431.29
593,54407.58
594,54396.38
595,54446.63
596,54468.38
597,54514.71
598,54543.53
599,54474
600,54443.29
601,54362.71
602,54279.96
603,54175.76
604,54022.67
605,53870.63
606,53702.38
607,53636.58
608,53611.86
609,53617.77
610,53680.67
611,53794.24
612,53951.72
613,54171.09
614,54480.63
615,54778.91
616,55123.96
617,55501.96
618,55806.99
619,56103.43
620,56435.71
621,56701.67
622,56850.47
623,57005.76
624,57034.91
625,57008.9
626,56976.77
627,56886.09
628,56769.9
629,56663.53
630,56512.47
631,56398.53
632,56190.14
633,56017.38
634,55886.77
635,55678.9
636,55556.05
637,55371.66
638,55143.14
639,54967.48
640,54764
641,54578.29
642,54388.67
643,54206.86
644,54035.15
645,53886.67
646,53730.24
647,53551.67
648,53401.81
649,53228.01
650,53067.57
651,52856.67
652,52687.24
653,52511.48
654,52309.06
655,52094.92
656,51943.71
657,51766.63
658,51587.14
659,51345
660,51134.58
661,50934.71
662,50731.06
663,50503.3
664,50297.29
665,50089.11
666,49904.24
667,49676.95
668,49523.58
669,49349.52
670,49159.19
671,48987.3
672,48754.67
673,48566.82
674,48278.11
675,48048.19
676,47820.77
677,47538.01
678,47328.71
679,47093.68
680,46831.25
681,46562.24
682,46327.34
683,46096
684,45842.19
685,45651.58
686,45442.09
687,45191.33
688,44958.01
689,44742.09
690,44470.05
691,44256.2
692,44043.76
693,43744.29
694,43525.63
695,43304.43
696,43038.62
697,42805.54
698,42502.34
699,42254.91
700,42005.01
701,41721.44
702,41507.71
703,41246.49
704,40928.44
705,40668.29
706,40378.16
707,40082.29
708,39829.14
709,39520.57
710,39235.58
711,38904.67
712,38496.57
713,38126.53
714,37761.71
715,37247.91
716,36759.11
717,36114.39
718,35560.09
719,35046.39
720,34514.53
721,34176.57
722,33831.71
723,33615.29
724,33393.53
725,33248.38
726,33125.34
727,32971.01
728,32842
729,32642.95
730,32498.82
731,32312.82
732,32133.81
733,31961.2
734,31762.39
735,31549.66
736,31301.47
737,31076.34
738,30784.48
739,30529.43
740,30217.81
741,29945.34
742,29623.63
743,29341.9
744,29007.53
745,28599.24
746,28276.71
747,27966.33
748,27759.05
749,27592.48
750,27479.23
751,27407.66
752,27386.77
753,27411.77
754,27481.42
755,27561.71
756,27659.67
757,27744.2
758,27827.14
759,27879.85
760,27890.72
761,27848.15
762,27785.52
763,27622.57
764,27477.24
765,27214.82
766,26901.72
767,26614.42
768,26200.04
769,25835.15
770,25371.67
771,24997.99
772,24512.23
773,24122.1
774,23624.34
775,23206.9
776,22731.85
777,22254.04
778,21867.05
779,21412.53
780,21026.28
781,20578.33
782,20227.67
783,19792.15
784,19384.77
785,19039.23
786,18625.99
787,18302
788,17912.15
789,17586.72
790,17302.99
791,16981.09
792,16726.58
793,16396.15
794,16090.67
795,15847.75
796,15542.9
797,15272.28
798,15035.33
799,14751.57
800,14539.56
801,14249.51
802,13963.94
803,13727.14
804,13430.71
805,13145.52
806,12923.99
807,12685.47
808,12458.37
809,12265
810,12075.38
811,11880.91
812,11722.28
813,11529.99
814,11311.04
815,11132.67
816,10952.57
817,10766.76
818,10622.75
819,10448.9
820,10264.13
821,10093.23
822,9947.53
823,9774.48
824,9600.34
825,9466.13
826,9301.75
827,9136.61
828,8964.71
829,8825.57
830,8676.91
831,8518.96
832,8371.72
833,8255.66
834,8093.99
835,7940.99
836,7787.42
837,7651.86
838,7507.38
839,7363.19
840,7212.62
841,7098.85
842,6957.75
843,6836.18
844,6708.71
845,6598.15
846,6463.72
847,6335.86
848,6210.72
849,6088.81
850,5986.61
851,5853.52
852,5725.8
853,5612.57
854,5482.71
855,5355.52
856,5258.15
857,5145.62
858,5040.39
859,4932.72
860,4845.05
861,4721.91
862,4648.9
863,4543.18
864,4423.99
865,4315.52
866,4193.42
867,4072.09
868,3965.37
869,3861.2
870,3752.62
871,3623.72
872,3513.2
873,3397.96
874,3292.1
875,3199.53
876,3106.81
877,3028.48
878,2974.33
879,2900.14
880,2848.85
881,2790.09
882,2719.66
883,2664.14
884,2592.37
885,2539.09
886,2488.47
887,2424.76
888,2354.52
889,2296.8
890,2233.04
891,2174.76
892,2122.09
893,2043.61
894,1988.23
895,1934.76
896,1867.61
897,1802.57
898,1745.14
899,1690.37
900,1651.57
