nm,SCAN
400,4.59
401,4.67
402,4.74
403,4.79
404,4.92
405,5.02
406,5.24
407,5.41
408,5.55
409,5.69
410,5.84
411,5.98
412,6.22
413,6.31
414,6.4
415,6.47
416,6.39
417,6.31
418,6.18
419,6.06
420,5.97
421,5.82
422,5.65
423,5.5
424,5.39
425,5.28
426,5.12
427,5.01
428,4.88
429,4.79
430,4.74
431,4.7
432,4.7
433,4.7
434,4.77
435,4.79
436,4.86
437,4.89
438,4.96
439,5.03
440,5.18
441,5.3
442,5.38
443,5.49
444,5.57
445,5.65
446,5.72
447,5.76
448,5.78
449,5.83
450,5.82
451,5.81
452,5.8
453,5.8
454,5.83
455,5.8
456,5.8
457,5.75
458,5.67
459,5.6
460,5.51
461,5.46
462,5.42
463,5.39
464,5.36
465,5.33
466,5.29
467,5.27
468,5.21
469,5.21
470,5.16
471,5.13
472,5.14
473,5.1
474,5.09
475,5.08
476,5.05
477,5.04
478,5.01
479,4.99
480,4.98
481,4.97
482,4.98
483,4.99
484,4.98
485,4.97
486,4.96
487,4.94
488,4.95
489,4.96
490,5
491,5.03
492,5.07
493,5.11
494,5.17
495,5.22
496,5.29
497,5.35
498,5.4
499,5.45
500,5.52
501,5.57
502,5.64
503,5.71
504,5.76
505,5.81
506,5.86
507,5.89
508,5.92
509,5.94
510,5.94
511,5.94
512,5.93
513,5.91
514,5.88
515,5.84
516,5.79
517,5.73
518,5.67
519,5.59
520,5.5
521,5.4
522,5.29
523,5.19
524,5.09
525,4.99
526,4.89
527,4.8
528,4.7
529,4.61
530,4.53
531,4.45
532,4.39
533,4.34
534,4.29
535,4.26
536,4.23
537,4.23
538,4.25
539,4.26
540,4.3
541,4.36
542,4.41
543,4.49
544,4.58
545,4.69
546,4.79
547,4.91
548,5.02
549,5.16
550,5.31
551,5.45
552,5.58
553,5.73
554,5.87
555,5.99
556,6.11
557,6.21
558,6.31
559,6.4
560,6.48
561,6.55
562,6.61
563,6.66
564,6.7
565,6.71
566,6.71
567,6.7
568,6.66
569,6.62
570,6.57
571,6.49
572,6.4
573,6.3
574,6.2
575,6.09
576,5.96
577,5.82
578,5.67
579,5.49
580,5.34
581,5.2
582,5.06
583,4.91
584,4.75
585,4.6
586,4.47
587,4.34
588,4.21
589,4.07
590,3.96
591,3.87
592,3.79
593,3.73
594,3.68
595,3.63
596,3.6
597,3.58
598,3.59
599,3.61
600,3.64
601,3.7
602,3.76
603,3.83
604,3.92
605,4.04
606,4.15
607,4.28
608,4.42
609,4.56
610,4.7
611,4.87
612,5.02
613,5.17
614,5.33
615,5.5
616,5.65
617,5.84
618,6
619,6.15
620,6.31
621,6.45
622,6.57
623,6.71
624,6.82
625,6.92
626,7.01
627,7.1
628,7.17
629,7.23
630,7.27
631,7.28
632,7.3
633,7.3
634,7.3
635,7.27
636,7.24
637,7.19
638,7.11
639,7.04
640,6.97
641,6.87
642,6.77
643,6.63
644,6.52
645,6.39
646,6.26
647,6.11
648,5.95
649,5.8
650,5.63
651,5.45
652,5.31
653,5.15
654,5.02
655,4.83
656,4.68
657,4.53
658,4.38
659,4.21
660,4.08
661,3.95
662,3.83
663,3.72
664,3.62
665,3.53
666,3.44
667,3.34
668,3.28
669,3.23
670,3.2
671,3.18
672,3.16
673,3.16
674,3.17
675,3.18
676,3.2
677,3.25
678,3.3
679,3.35
680,3.44
681,3.52
682,3.6
683,3.71
684,3.84
685,3.96
686,4.09
687,4.25
688,4.37
689,4.5
690,4.65
691,4.77
692,4.91
693,5.08
694,5.23
695,5.37
696,5.53
697,5.67
698,5.83
699,5.97
700,6.11
