Position,Position [µm],C,O,Si,Ca,Zr,In,Pt,S,Cu,Ga,MSS,N
43,0.193542074,93.29522593,3.060055523,1.277504542,0,0.608824427,0.036273857,0.397100392,0.032872634,0,0,1.292142696,0
44,0.198043053,92.52592149,2.930443921,1.636260324,0,0.818639952,0.105345485,0.466557218,0.11670466,0,0,1.400126948,0
45,0.202544031,91.86759553,2.858787122,2.089206697,0,0.872522018,0.176007153,0.443493296,0.256067671,0,0,1.436320516,0
46,0.20704501,91.05621876,3.265545255,2.316195414,0,0.844692002,0.226449648,0.509869147,0.327493225,0,0,1.453536545,0
47,0.211545988,91.14726696,3.476506459,2.221298313,0,0.704182762,0.225915029,0.575560529,0.337997197,0,0,1.311272751,0
48,0.216046967,91.20176018,3.746511338,2.176889099,0,0.565139689,0.241581221,0.526292563,0.305124563,0,0,1.236701346,0
49,0.220547945,91.369802,3.967767867,2.031958337,0,0.48044298,0.222786476,0.356338785,0.231462687,0,0,1.339440863,0
50,0.225048924,91.41641482,4.032360356,1.992405201,0,0.517645891,0.176085123,0.286602518,0.121180237,0,0,1.457305855,0
51,0.229549902,91.27490686,4.026999922,2.055689903,0,0.591218872,0.125642628,0.253159186,0.08013006,0,0,1.592252572,0
52,0.234050881,90.39186948,4.353401678,2.397417282,0.037859322,0.679783638,0.116988103,0.241487665,0.151091393,0,0,1.63010144,0
53,0.238551859,89.89280829,4.366530646,2.299232701,0.050384949,0.677152834,0.074237198,0.661176603,0.204996428,0,0,1.773480348,0
54,0.243052838,89.03931052,4.214644047,2.214850725,0.148501935,0.592838666,0.023960315,1.580583209,0.234412615,0,0,1.950897968,0
55,0.247553816,87.96253297,4.024542504,1.899889939,0.24533849,0.520413783,0.015607603,2.905258637,0.205332053,0,0,2.221084019,0
56,0.252054795,85.22444326,4.198690919,1.729409788,0.440672199,0.56771351,0.106308206,4.882294603,0.245009525,0,0,2.605457995,0
57,0.256555773,81.02729861,4.499558553,1.510701861,0.567919382,0.748422964,0.233153939,8.114765209,0.199071671,0,0,3.099107809,0
58,0.261056751,74.27408613,5.569725072,1.675293711,0.595939766,1.074830979,0.448808661,12.65950564,0.319659625,0,0,3.382150414,0
59,0.26555773,66.3207495,6.587294065,1.972126548,0.49782278,1.354569878,0.565219013,18.69460306,0.280073288,0,0,3.727541872,0
60,0.270058708,58.77239495,7.475977818,2.434325704,0.400986226,1.734962222,0.54961141,24.06398612,0.418561782,0,0,4.149193765,0
61,0.274559687,50.69178452,8.056838812,2.891575059,0.205652517,1.921496488,0.458910807,29.88547868,0.641843525,0,0,5.24641959,0
62,0.279060665,43.4955148,7.84748271,3.600771271,0.040546011,2.051024547,0.332065074,35.354606,1.192247045,0,0,6.085742545,0
63,0.283561644,41.67797763,6.728438182,3.979194688,0,1.626184025,0.116410352,37.48051822,1.523124509,0,0,6.868152389,0
64,0.288062622,43.02662253,5.298298048,3.94278516,0,1.282190854,0,37.58509956,1.928324188,0,0,6.936679665,0
